county,sale_date,sale_time,parcel_id,case_number,certificate_number,owner_name,property_address,property_use,acreage,opening_bid,assessed_value,auction_status,auction_type,auction_url,appraiser_url,clerk_case_url,source_host,scraped_at
lee,08/25/2026,10:00 AM ET,04-45-23-C3-04684.0340,2026000129,24-04454,,"3822 SW 17TH AVE, CAPE CORAL, FL- 33914",,,339501.64,574786.0,08/25/2026 10:00 AM ET,TAXDEED,https://www.lee.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1507720&bypassPage=1,http://www.leepa.org/Scripts/PropertyQuery/PropertyQuery.aspx?STRAP=04-45-23-C3-04684.0340,,www.lee.realtaxdeed.com,2026-08-19T17:38:28+00:00
lee,08/25/2026,,11-45-26-06-00065.0230,2026000062,24-16578,,"3420 43RD ST SW, LEHIGH ACRES, FL- 33976",,,2759.7,,Redeemed,TAXDEED,https://www.lee.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1507718&bypassPage=1,http://www.leepa.org/Scripts/PropertyQuery/PropertyQuery.aspx?STRAP=11-45-26-06-00065.0230,,www.lee.realtaxdeed.com,2026-08-19T17:38:28+00:00
lee,08/25/2026,,36-44-26-13-00120.0010,2026000127,24-15804,,"2619 14TH ST SW, LEHIGH ACRES, FL- 33976",,,13770.79,264246.0,Redeemed,TAXDEED,https://www.lee.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1507719&bypassPage=1,http://www.leepa.org/Scripts/PropertyQuery/PropertyQuery.aspx?STRAP=36-44-26-13-00120.0010,,www.lee.realtaxdeed.com,2026-08-19T17:38:28+00:00
lee,09/01/2026,,01-44-22-C3-05227.0030,2026000108,24-00577,,"1007 NW 40TH PL, CAPE CORAL, FL- 33993",,,6059.91,,Redeemed,TAXDEED,https://www.lee.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1509052&bypassPage=1,http://www.leepa.org/Scripts/PropertyQuery/PropertyQuery.aspx?STRAP=01-44-22-C3-05227.0030,,www.lee.realtaxdeed.com,2026-08-19T17:38:44+00:00
lee,09/01/2026,,01-48-25-B2-00200.0790,2026000107,24-12657,,"11331 SUNRAY DR, BONITA SPRINGS, FL- 34135",,,38649.3,,Redeemed,TAXDEED,https://www.lee.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1509051&bypassPage=1,http://www.leepa.org/Scripts/PropertyQuery/PropertyQuery.aspx?STRAP=01-48-25-B2-00200.0790,,www.lee.realtaxdeed.com,2026-08-19T17:38:44+00:00
lee,09/01/2026,,01-48-25-B4-02911.0201,2026000109,24-12661,,"28541 CALABRIA CT 201, NAPLES, FL- 34110",,,60061.12,,Redeemed,TAXDEED,https://www.lee.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1509053&bypassPage=1,http://www.leepa.org/Scripts/PropertyQuery/PropertyQuery.aspx?STRAP=01-48-25-B4-02911.0201,,www.lee.realtaxdeed.com,2026-08-19T17:38:44+00:00
lee,09/01/2026,10:00 AM ET,02-44-23-C2-02660.A320,2026000036,19-028085,,"128 DIPLOMAT PKWY W, CAPE CORAL, FL- 33993",,,5335.28,8594.0,09/01/2026 10:00 AM ET,TAXDEED,https://www.lee.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1515603&bypassPage=1,http://www.leepa.org/Scripts/PropertyQuery/PropertyQuery.aspx?STRAP=02-44-23-C2-02660.A320,,www.lee.realtaxdeed.com,2026-08-19T17:38:44+00:00
lee,09/01/2026,,03-44-27-01-0000C.0040,2026000080,24-17844,,"2199 WYANDOTTE AVE, ALVA, FL- 33920",,,12309.58,,Redeemed,TAXDEED,https://www.lee.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1509073&bypassPage=1,http://www.leepa.org/Scripts/PropertyQuery/PropertyQuery.aspx?STRAP=03-44-27-01-0000C.0040,,www.lee.realtaxdeed.com,2026-08-19T17:38:44+00:00
lee,09/01/2026,,05-44-27-03-00160.0060,2026000131,24-18082,,"1914 MILSTEAD AVE, LEHIGH ACRES, FL- 33972",,,13155.21,,Redeemed,TAXDEED,https://www.lee.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1508905&bypassPage=1,http://www.leepa.org/Scripts/PropertyQuery/PropertyQuery.aspx?STRAP=05-44-27-03-00160.0060,,www.lee.realtaxdeed.com,2026-08-19T17:38:44+00:00
lee,09/01/2026,10:00 AM ET,05-45-27-21-000K0.0060,2026000077,24-21923,,"14 AZTEC LILY LN, LEHIGH ACRES, FL- 33936",,,6603.08,92540.0,09/01/2026 10:00 AM ET,TAXDEED,https://www.lee.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1509071&bypassPage=1,http://www.leepa.org/Scripts/PropertyQuery/PropertyQuery.aspx?STRAP=05-45-27-21-000K0.0060,,www.lee.realtaxdeed.com,2026-08-19T17:38:44+00:00
