county,sale_date,sale_time,parcel_id,case_number,certificate_number,owner_name,property_address,property_use,acreage,opening_bid,assessed_value,auction_status,auction_type,auction_url,appraiser_url,clerk_case_url,source_host,scraped_at
nassau,09/01/2026,11:30 AM ET,00-00-30-0254-0005-0000,452026XX000009TDAXYX,1376,,"1473 FOUNTAIN DR FERNANDINA BE, FERNANDINA BEACH, FL- 32034",,,122550.25,227891.0,09/01/2026 11:30 AM ET,TAXDEED,https://www.nassau.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1509154&bypassPage=1,https://maps.nassauflpa.com/NassauDetails/ParcelSearchResults.html?PIN=00-00-30-0254-0005-0000,,www.nassau.realtaxdeed.com,2026-08-24T10:41:45+00:00
nassau,09/01/2026,,00-00-31-101G-0001-2169,452026XX000010TDAXYX,1436,,2169 HIBISCUS CT FERNANDINA BE,,,238579.73,,Redeemed,TAXDEED,https://www.nassau.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1509155&bypassPage=1,https://maps.nassauflpa.com/NassauDetails/ParcelSearchResults.html?PIN=00-00-31-101G-0001-2169,,www.nassau.realtaxdeed.com,2026-08-24T10:41:45+00:00
nassau,09/15/2026,11:30 AM ET,25-4N-24-2020-0003-0010,452026XX000011TDAXYX,458,,"38084 DAHOMA RD HILLIARD, HILLIARD, FL- 32046",,,8160.11,110274.0,09/15/2026 11:30 AM ET,TAXDEED,https://www.nassau.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1509391&bypassPage=1,https://maps.nassauflpa.com/NassauDetails/ParcelSearchResults.html?PIN=25-4N-24-2020-0003-0010,,www.nassau.realtaxdeed.com,2026-08-24T10:41:49+00:00
nassau,09/29/2026,11:30 AM ET,16-4N-24-0000-0004-0080,452026XX000012TDAXYX,446,,273660 MURRHEE RD HILLIARD,,,5053.29,,09/29/2026 11:30 AM ET,TAXDEED,https://www.nassau.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1512469&bypassPage=1,https://maps.nassauflpa.com/NassauDetails/ParcelSearchResults.html?PIN=16-4N-24-0000-0004-0080,,www.nassau.realtaxdeed.com,2026-08-24T10:41:53+00:00
nassau,10/13/2026,,00-00-31-1800-0161-0080,452026XX000013TDAXYX,1538,,816 S 6TH ST FERNANDINA BEACH,,,258656.69,,Redeemed,TAXDEED,https://www.nassau.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1514630&bypassPage=1,https://maps.nassauflpa.com/NassauDetails/ParcelSearchResults.html?PIN=00-00-31-1800-0161-0080,,www.nassau.realtaxdeed.com,2026-08-24T10:41:57+00:00
nassau,10/13/2026,11:30 AM ET,35-4N-25-4220-0002-0020,452026XX000014TDAXYX,809,,COOPERS NECK RP HILLIARD,,,8122.0,,10/13/2026 11:30 AM ET,TAXDEED,https://www.nassau.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1514768&bypassPage=1,https://maps.nassauflpa.com/NassauDetails/ParcelSearchResults.html?PIN=35-4N-25-4220-0002-0020,,www.nassau.realtaxdeed.com,2026-08-24T10:41:57+00:00
nassau,10/20/2026,11:30 AM ET,08-3N-24-2380-0103-0110,452026XX000015TDAXYX,416,,SEVENTH AV HILLIARD,,,2216.73,,10/20/2026 11:30 AM ET,TAXDEED,https://www.nassau.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1514953&bypassPage=1,https://maps.nassauflpa.com/NassauDetails/ParcelSearchResults.html?PIN=08-3N-24-2380-0103-0110,,www.nassau.realtaxdeed.com,2026-08-24T10:42:01+00:00
nassau,10/20/2026,11:30 AM ET,31-2N-28-1601-0062-0000,452026XX000016TDAXYX,1161,,95033 HENDRICKS RD FERNANDINA,,,48837.52,,10/20/2026 11:30 AM ET,TAXDEED,https://www.nassau.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1514954&bypassPage=1,https://maps.nassauflpa.com/NassauDetails/ParcelSearchResults.html?PIN=31-2N-28-1601-0062-0000,,www.nassau.realtaxdeed.com,2026-08-24T10:42:01+00:00
nassau,10/27/2026,11:30 AM ET,39-2N-27-0000-0001-0020,452026XX000017TDAXYX,921,,85231 BOSTWICK DR FERNANDINA B,,,3529.59,,10/27/2026 11:30 AM ET,TAXDEED,https://www.nassau.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1514955&bypassPage=1,https://maps.nassauflpa.com/NassauDetails/ParcelSearchResults.html?PIN=39-2N-27-0000-0001-0020,,www.nassau.realtaxdeed.com,2026-08-24T10:42:04+00:00
nassau,10/27/2026,11:30 AM ET,42-2N-27-4613-0008-0010,452026XX000018TDAXYX,1003,,85702 RADIO AVE YULEE,,,17573.59,,10/27/2026 11:30 AM ET,TAXDEED,https://www.nassau.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1514956&bypassPage=1,https://maps.nassauflpa.com/NassauDetails/ParcelSearchResults.html?PIN=42-2N-27-4613-0008-0010,,www.nassau.realtaxdeed.com,2026-08-24T10:42:04+00:00
