county,sale_date,sale_time,parcel_id,case_number,certificate_number,owner_name,property_address,property_use,acreage,opening_bid,assessed_value,auction_status,auction_type,auction_url,appraiser_url,clerk_case_url,source_host,scraped_at
osceola,09/15/2026,11:00 AM ET,0926315330000B0092,19972024,19972024,,"1850 MATHIS RD, SAINT CLOUD, FL- 34771",,,8426.06,91954.0,09/15/2026 11:00 AM ET,TAXDEED,https://www.osceola.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1514631&bypassPage=1,http://ira.property-appraiser.org/PropertySearch/Default.aspx?PIN=0926315330000B0092,,www.osceola.realtaxdeed.com,2026-08-24T10:44:26+00:00
osceola,09/15/2026,11:00 AM ET,112528539700030280,22382024,22382024,,"2751 N POINCIANA BLVD 28, KISSIMMEE, FL- 34746",,,10761.38,157647.0,09/15/2026 11:00 AM ET,TAXDEED,https://www.osceola.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1514632&bypassPage=1,http://ira.property-appraiser.org/PropertySearch/Default.aspx?PIN=112528539700030280,,www.osceola.realtaxdeed.com,2026-08-24T10:44:26+00:00
osceola,09/15/2026,,172629325900010570,32172024,32172024,,,,,171106.42,,Redeemed,TAXDEED,https://www.osceola.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1514633&bypassPage=1,http://ira.property-appraiser.org/PropertySearch/Default.aspx?PIN=172629325900010570,,www.osceola.realtaxdeed.com,2026-08-24T10:44:26+00:00
osceola,09/15/2026,11:00 AM ET,182529184900011105,34492024,34492024,,"4117 OAK CANOPY CT 1105, KISSIMMEE, FL- 34741",,,3644.6,41394.0,09/15/2026 11:00 AM ET,TAXDEED,https://www.osceola.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1516717&bypassPage=1,http://ira.property-appraiser.org/PropertySearch/Default.aspx?PIN=182529184900011105,,www.osceola.realtaxdeed.com,2026-08-24T10:44:26+00:00
osceola,09/15/2026,11:00 AM ET,202531426000010255,39172024,39172024,,"701 WIGGINS RD, SAINT CLOUD, FL- 34771",,,10793.18,123500.0,09/15/2026 11:00 AM ET,TAXDEED,https://www.osceola.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1514634&bypassPage=1,http://ira.property-appraiser.org/PropertySearch/Default.aspx?PIN=202531426000010255,,www.osceola.realtaxdeed.com,2026-08-24T10:44:26+00:00
osceola,09/15/2026,11:00 AM ET,2125291900000D0090,40212024,40212024,,"HILL ST, KISSIMMEE, FL- 34741",,,2777.36,23278.0,09/15/2026 11:00 AM ET,TAXDEED,https://www.osceola.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1514635&bypassPage=1,http://ira.property-appraiser.org/PropertySearch/Default.aspx?PIN=2125291900000D0090,,www.osceola.realtaxdeed.com,2026-08-24T10:44:26+00:00
osceola,09/15/2026,11:00 AM ET,242730000000150000,43972024,43972024,,"5331 CANOE CREEK RD, SAINT CLOUD, FL- 34772",,,8486.98,155400.0,09/15/2026 11:00 AM ET,TAXDEED,https://www.osceola.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1514636&bypassPage=1,http://ira.property-appraiser.org/PropertySearch/Default.aspx?PIN=242730000000150000,,www.osceola.realtaxdeed.com,2026-08-24T10:44:26+00:00
osceola,09/15/2026,11:00 AM ET,243033000000550000,44612024,44612024,,"KENANSVILLE RD, KENANSVILLE, FL- 34739",,,6995.81,115800.0,09/15/2026 11:00 AM ET,TAXDEED,https://www.osceola.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1514637&bypassPage=1,http://ira.property-appraiser.org/PropertySearch/Default.aspx?PIN=243033000000550000,,www.osceola.realtaxdeed.com,2026-08-24T10:44:26+00:00
osceola,09/15/2026,,252628610005290210,45682024,45682024,,"OGLETHORPE CT, KISSIMMEE, FL- 34758",,,2170.61,24434.0,Redeemed,TAXDEED,https://www.osceola.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1514638&bypassPage=1,http://ira.property-appraiser.org/PropertySearch/Default.aspx?PIN=252628610005290210,,www.osceola.realtaxdeed.com,2026-08-24T10:44:26+00:00
osceola,09/15/2026,11:00 AM ET,252628610005640170,45842024,45842024,,"CAMBRIDGE CT, KISSIMMEE, FL- 34758",,,3317.6,31720.0,09/15/2026 11:00 AM ET,TAXDEED,https://www.osceola.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1514639&bypassPage=1,http://ira.property-appraiser.org/PropertySearch/Default.aspx?PIN=252628610005640170,,www.osceola.realtaxdeed.com,2026-08-24T10:44:26+00:00
