county,sale_date,sale_time,parcel_id,case_number,certificate_number,owner_name,property_address,property_use,acreage,opening_bid,assessed_value,auction_status,auction_type,auction_url,appraiser_url,clerk_case_url,source_host,scraped_at
martin,10/07/2026,10:00 AM ET,02-38-41-004-004-00030-2,2025-0118TD,2023-96,,"2929 SE OCEAN BLVD, STUART, FL- 34996",,,5854.85,134360.0,10/07/2026 10:00 AM ET,TAXDEED,https://www.martin.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1516759&bypassPage=1,https://www.pamartinfl.gov/app/search/pcn/02-38-41-004-004-00030-2 ,,www.martin.realtaxdeed.com,2026-08-25T20:37:49+00:00
martin,10/07/2026,10:00 AM ET,11-40-40-000-400-00120-0,2025-0119TD,2023-525,,"NOT ASSIGNED, INDIANTOWN, FL- 34956",,,1450.33,1310.0,10/07/2026 10:00 AM ET,TAXDEED,https://www.martin.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1516758&bypassPage=1,https://www.pamartinfl.gov/app/search/pcn/11-40-40-000-400-00120-0 ,,www.martin.realtaxdeed.com,2026-08-25T20:37:49+00:00
martin,10/07/2026,10:00 AM ET,11-40-40-000-400-00364-1,2025-0112TD,2023-526,,"NOT ASSIGNED, INDIANTOWN, FL- 34956",,,1506.49,2630.0,10/07/2026 10:00 AM ET,TAXDEED,https://www.martin.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1516765&bypassPage=1,https://www.pamartinfl.gov/app/search/pcn/11-40-40-000-400-00364-1 ,,www.martin.realtaxdeed.com,2026-08-25T20:37:49+00:00
martin,10/07/2026,10:00 AM ET,12-38-39-001-000-00940-5,2026-0001TD,2023-532,,"701 SW SAN ANTONIO DR, PALM CITY, FL- 34990",,,55003.51,1156780.0,10/07/2026 10:00 AM ET,TAXDEED,https://www.martin.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1516757&bypassPage=1,https://www.pamartinfl.gov/app/search/pcn/12-38-39-001-000-00940-5 ,,www.martin.realtaxdeed.com,2026-08-25T20:37:49+00:00
martin,10/07/2026,10:00 AM ET,15-40-40-000-100-00140-9,2025-0113TD,2023-685,,"NOT ASSIGNED, INDIANTOWN, FL- 34956",,,1799.42,2630.0,10/07/2026 10:00 AM ET,TAXDEED,https://www.martin.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1516764&bypassPage=1,https://www.pamartinfl.gov/app/search/pcn/15-40-40-000-100-00140-9 ,,www.martin.realtaxdeed.com,2026-08-25T20:37:49+00:00
martin,10/07/2026,10:00 AM ET,15-40-40-000-100-01361-0,2025-0114TD,2023-696,,"NOT ASSIGNED, INDIANTOWN, FL- 34956",,,1618.33,630.0,10/07/2026 10:00 AM ET,TAXDEED,https://www.martin.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1516763&bypassPage=1,https://www.pamartinfl.gov/app/search/pcn/15-40-40-000-100-01361-0 ,,www.martin.realtaxdeed.com,2026-08-25T20:37:49+00:00
martin,10/07/2026,10:00 AM ET,17-38-41-010-007-00160-7,2025-0098TD,2022-690,,"NOT ASSIGNED, PALM CITY, FL- 34990",,,2314.62,4460.0,10/07/2026 10:00 AM ET,TAXDEED,https://www.martin.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1516779&bypassPage=1,https://www.pamartinfl.gov/app/search/pcn/17-38-41-010-007-00160-7 ,,www.martin.realtaxdeed.com,2026-08-25T20:37:49+00:00
martin,10/07/2026,10:00 AM ET,17-38-41-010-007-00170-0,2025-0099TD,2022-691,,"NOT ASSIGNED, PALM CITY, FL- 34990",,,2137.22,3390.0,10/07/2026 10:00 AM ET,TAXDEED,https://www.martin.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1516778&bypassPage=1,https://www.pamartinfl.gov/app/search/pcn/17-38-41-010-007-00170-0 ,,www.martin.realtaxdeed.com,2026-08-25T20:37:49+00:00
martin,10/07/2026,10:00 AM ET,17-38-41-010-007-00180-0,2025-0088TD,2023-768,,"NOT ASSIGNED, PALM CITY, FL- 34990",,,2280.44,3750.0,10/07/2026 10:00 AM ET,TAXDEED,https://www.martin.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1516780&bypassPage=1,https://www.pamartinfl.gov/app/search/pcn/17-38-41-010-007-00180-0 ,,www.martin.realtaxdeed.com,2026-08-25T20:37:49+00:00
martin,10/07/2026,10:00 AM ET,18-40-40-000-300-00550-2,2025-0115TD,2023-840,,"NOT ASSIGNED, INDIANTOWN, FL- 34956",,,2104.45,2630.0,10/07/2026 10:00 AM ET,TAXDEED,https://www.martin.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1516762&bypassPage=1,https://www.pamartinfl.gov/app/search/pcn/18-40-40-000-300-00550-2 ,,www.martin.realtaxdeed.com,2026-08-25T20:37:49+00:00
martin,10/07/2026,10:00 AM ET,19-40-40-000-400-00162-8,2025-0116TD,2023-862,,"NOT ASSIGNED, INDIANTOWN, FL- 34956",,,1646.8,2630.0,10/07/2026 10:00 AM ET,TAXDEED,https://www.martin.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1516761&bypassPage=1,https://www.pamartinfl.gov/app/search/pcn/19-40-40-000-400-00162-8 ,,www.martin.realtaxdeed.com,2026-08-25T20:37:49+00:00
martin,10/07/2026,10:00 AM ET,20-40-40-000-100-00400-4,2025-0100TD,2023-888,,"NOT ASSIGNED, INDIANTOWN, FL- 34956",,,1601.93,2630.0,10/07/2026 10:00 AM ET,TAXDEED,https://www.martin.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1516777&bypassPage=1,https://www.pamartinfl.gov/app/search/pcn/20-40-40-000-100-00400-4 ,,www.martin.realtaxdeed.com,2026-08-25T20:37:49+00:00
martin,10/07/2026,10:00 AM ET,20-40-40-000-200-00050-5,2025-0101TD,2023-892,,"NOT ASSIGNED, INDIANTOWN, FL- 34956",,,1622.78,2630.0,10/07/2026 10:00 AM ET,TAXDEED,https://www.martin.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1516776&bypassPage=1,https://www.pamartinfl.gov/app/search/pcn/20-40-40-000-200-00050-5 ,,www.martin.realtaxdeed.com,2026-08-25T20:37:49+00:00
martin,10/07/2026,10:00 AM ET,20-40-40-000-200-01520-5,2025-0102TD,2023-894,,"NOT ASSIGNED, INDIANTOWN, FL- 34956",,,1545.92,2630.0,10/07/2026 10:00 AM ET,TAXDEED,https://www.martin.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1516775&bypassPage=1,https://www.pamartinfl.gov/app/search/pcn/20-40-40-000-200-01520-5 ,,www.martin.realtaxdeed.com,2026-08-25T20:37:49+00:00
martin,10/07/2026,10:00 AM ET,20-40-40-000-400-00461-4,2025-0103TD,2023-900,,"NOT ASSIGNED, INDIANTOWN, FL- 34956",,,1576.01,2630.0,10/07/2026 10:00 AM ET,TAXDEED,https://www.martin.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1516774&bypassPage=1,https://www.pamartinfl.gov/app/search/pcn/20-40-40-000-400-00461-4 ,,www.martin.realtaxdeed.com,2026-08-25T20:37:49+00:00
martin,10/07/2026,10:00 AM ET,21-40-40-000-100-00902-5,2025-0104TD,2023-917,,"NOT ASSIGNED, INDIANTOWN, FL- 34956",,,1485.12,1310.0,10/07/2026 10:00 AM ET,TAXDEED,https://www.martin.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1516773&bypassPage=1,https://www.pamartinfl.gov/app/search/pcn/21-40-40-000-100-00902-5 ,,www.martin.realtaxdeed.com,2026-08-25T20:37:49+00:00
martin,10/07/2026,10:00 AM ET,21-40-40-000-100-01080-7,2025-0105TD,2023-918,,"NOT ASSIGNED, INDIANTOWN, FL- 34956",,,1642.34,2630.0,10/07/2026 10:00 AM ET,TAXDEED,https://www.martin.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1516772&bypassPage=1,https://www.pamartinfl.gov/app/search/pcn/21-40-40-000-100-01080-7 ,,www.martin.realtaxdeed.com,2026-08-25T20:37:49+00:00
martin,10/07/2026,10:00 AM ET,24-40-39-000-100-00650-5,2025-0106TD,2023-1009,,"NOT ASSIGNED, INDIANTOWN, FL- 34956",,,1766.66,2630.0,10/07/2026 10:00 AM ET,TAXDEED,https://www.martin.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1516771&bypassPage=1,https://www.pamartinfl.gov/app/search/pcn/24-40-39-000-100-00650-5 ,,www.martin.realtaxdeed.com,2026-08-25T20:37:49+00:00
martin,10/07/2026,10:00 AM ET,29-40-40-000-100-01542-2,2025-0107TD,2023-1194,,"NOT ASSIGNED, INDIANTOWN, FL- 34956",,,2046.93,1310.0,10/07/2026 10:00 AM ET,TAXDEED,https://www.martin.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1516770&bypassPage=1,https://www.pamartinfl.gov/app/search/pcn/29-40-40-000-100-01542-2 ,,www.martin.realtaxdeed.com,2026-08-25T20:37:49+00:00
martin,10/07/2026,10:00 AM ET,29-40-40-000-200-00890-0,2025-0108TD,2023-1196,,"NOT ASSIGNED, INDIANTOWN, FL- 34956",,,1675.82,2630.0,10/07/2026 10:00 AM ET,TAXDEED,https://www.martin.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1516769&bypassPage=1,https://www.pamartinfl.gov/app/search/pcn/29-40-40-000-200-00890-0 ,,www.martin.realtaxdeed.com,2026-08-25T20:37:49+00:00
martin,10/07/2026,10:00 AM ET,30-40-40-000-200-00970-1,2025-0109TD,2023-1270,,"NOT ASSIGNED, INDIANTOWN, FL- 34956",,,1750.26,2630.0,10/07/2026 10:00 AM ET,TAXDEED,https://www.martin.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1516768&bypassPage=1,https://www.pamartinfl.gov/app/search/pcn/30-40-40-000-200-00970-1 ,,www.martin.realtaxdeed.com,2026-08-25T20:37:49+00:00
martin,10/07/2026,10:00 AM ET,34-38-42-038-024-00130-0,2025-0110TD,2023-1459,,"NOT ASSIGNED, HOBE SOUND, FL- 33455",,,2176.15,2500.0,10/07/2026 10:00 AM ET,TAXDEED,https://www.martin.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1516767&bypassPage=1,https://www.pamartinfl.gov/app/search/pcn/34-38-42-038-024-00130-0 ,,www.martin.realtaxdeed.com,2026-08-25T20:37:49+00:00
martin,10/07/2026,10:00 AM ET,34-38-42-042-112-00020-0,2025-0117TD,2022-1391,,"NOT ASSIGNED, HOBE SOUND, FL- 33455",,,2257.29,15000.0,10/07/2026 10:00 AM ET,TAXDEED,https://www.martin.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1516760&bypassPage=1,https://www.pamartinfl.gov/app/search/pcn/34-38-42-042-112-00020-0 ,,www.martin.realtaxdeed.com,2026-08-25T20:37:49+00:00
martin,10/07/2026,10:00 AM ET,34-38-42-053-006-00150-2,2025-0111TD,2023-1568,,"8093 SE PATRIOT AVE, HOBE SOUND, FL- 33455",,,3971.49,105340.0,10/07/2026 10:00 AM ET,TAXDEED,https://www.martin.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1516766&bypassPage=1,https://www.pamartinfl.gov/app/search/pcn/34-38-42-053-006-00150-2 ,,www.martin.realtaxdeed.com,2026-08-25T20:37:49+00:00
