county,sale_date,sale_time,parcel_id,case_number,certificate_number,owner_name,property_address,property_use,acreage,opening_bid,assessed_value,auction_status,auction_type,auction_url,appraiser_url,clerk_case_url,source_host,scraped_at
putnam,09/02/2026,09:00 AM ET,01-13-26-4910-0070-1950,2024-0000475,2024-0000475,,"123 FOREST ST, GEORGETOWN, FL- 32139",,,1691.7,,09/02/2026 09:00 AM ET,TAXDEED,https://www.putnam.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1514485&bypassPage=1,https://apps.putnam-fl.com/pa/property/?type=api&parcel=01-13-26-4910-0070-1950,,www.putnam.realtaxdeed.com,2026-08-25T20:45:18+00:00
putnam,09/02/2026,09:00 AM ET,02-10-26-0000-0960-0000,2024-0000833,2024-0000833,,"403 HOLDEN RD, PALATKA, FL- 32177",,,4082.08,,09/02/2026 09:00 AM ET,TAXDEED,https://www.putnam.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1514486&bypassPage=1,https://apps.putnam-fl.com/pa/property/?type=api&parcel=02-10-26-0000-0960-0000,,www.putnam.realtaxdeed.com,2026-08-25T20:45:18+00:00
putnam,09/02/2026,09:00 AM ET,02-12-27-1829-0300-0270,2024-0001010,2024-0001010,,"108 RUTH DR, CRESCENT CITY, FL- 32112",,,2278.27,,09/02/2026 09:00 AM ET,TAXDEED,https://www.putnam.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1514487&bypassPage=1,https://apps.putnam-fl.com/pa/property/?type=api&parcel=02-12-27-1829-0300-0270,,www.putnam.realtaxdeed.com,2026-08-25T20:45:18+00:00
putnam,09/02/2026,09:00 AM ET,03-10-24-2570-0010-0410,2019-0001896,2019-0001896,,00 UNASSIGNED LOCATION RE,,,1227.48,,09/02/2026 09:00 AM ET,TAXDEED,https://www.putnam.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1514448&bypassPage=1,https://apps.putnam-fl.com/pa/property/?type=api&parcel=03-10-24-2570-0010-0410,,www.putnam.realtaxdeed.com,2026-08-25T20:45:18+00:00
putnam,09/02/2026,09:00 AM ET,03-10-24-9070-0110-0190,2019-0002039,2019-0002039,,00 UNASSIGNED LOCATION RE,,,1325.07,,09/02/2026 09:00 AM ET,TAXDEED,https://www.putnam.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1514449&bypassPage=1,https://apps.putnam-fl.com/pa/property/?type=api&parcel=03-10-24-9070-0110-0190,,www.putnam.realtaxdeed.com,2026-08-25T20:45:18+00:00
putnam,09/02/2026,09:00 AM ET,03-10-24-9070-0120-0090,2020-0002386,2020-0002386,,00 UNASSIGNED LOCATION RE,,,1217.06,,09/02/2026 09:00 AM ET,TAXDEED,https://www.putnam.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1514470&bypassPage=1,https://apps.putnam-fl.com/pa/property/?type=api&parcel=03-10-24-9070-0120-0090,,www.putnam.realtaxdeed.com,2026-08-25T20:45:18+00:00
putnam,09/02/2026,09:00 AM ET,03-10-24-9070-0120-0100,2020-0002385,2020-0002385,,00 UNASSIGNED LOCATION RE,,,1257.92,,09/02/2026 09:00 AM ET,TAXDEED,https://www.putnam.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1514469&bypassPage=1,https://apps.putnam-fl.com/pa/property/?type=api&parcel=03-10-24-9070-0120-0100,,www.putnam.realtaxdeed.com,2026-08-25T20:45:18+00:00
putnam,09/02/2026,09:00 AM ET,04-09-27-0000-0021-1460,2024-0001619,2024-0001619,,"401 NW 8TH AV, PALATKA, FL- 32177",,,1515.94,,09/02/2026 09:00 AM ET,TAXDEED,https://www.putnam.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1514488&bypassPage=1,https://apps.putnam-fl.com/pa/property/?type=api&parcel=04-09-27-0000-0021-1460,,www.putnam.realtaxdeed.com,2026-08-25T20:45:18+00:00
putnam,09/02/2026,09:00 AM ET,04-10-24-5531-0050-0510,2019-0002541,2019-0002541,,00 UNASSIGNED LOCATION RE,,,1085.34,,09/02/2026 09:00 AM ET,TAXDEED,https://www.putnam.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1514450&bypassPage=1,https://apps.putnam-fl.com/pa/property/?type=api&parcel=04-10-24-5531-0050-0510,,www.putnam.realtaxdeed.com,2026-08-25T20:45:18+00:00
putnam,09/02/2026,09:00 AM ET,04-10-24-5540-0020-0100,2019-0002931,2019-0002931,,00 UNASSIGNED LOCATION RE,,,1497.73,,09/02/2026 09:00 AM ET,TAXDEED,https://www.putnam.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1514451&bypassPage=1,https://apps.putnam-fl.com/pa/property/?type=api&parcel=04-10-24-5540-0020-0100,,www.putnam.realtaxdeed.com,2026-08-25T20:45:18+00:00
putnam,09/02/2026,09:00 AM ET,04-10-24-6450-0040-0330,2020-0003125,2020-0003125,,00 UNASSIGNED LOCATION RE,,,1202.94,,09/02/2026 09:00 AM ET,TAXDEED,https://www.putnam.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1514472&bypassPage=1,https://apps.putnam-fl.com/pa/property/?type=api&parcel=04-10-24-6450-0040-0330,,www.putnam.realtaxdeed.com,2026-08-25T20:45:18+00:00
putnam,09/02/2026,09:00 AM ET,04-10-24-6450-0040-0440,2020-0003096,2020-0003096,,00 UNASSIGNED LOCATION RE,,,1448.78,,09/02/2026 09:00 AM ET,TAXDEED,https://www.putnam.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1514471&bypassPage=1,https://apps.putnam-fl.com/pa/property/?type=api&parcel=04-10-24-6450-0040-0440,,www.putnam.realtaxdeed.com,2026-08-25T20:45:18+00:00
