county,sale_date,sale_time,parcel_id,case_number,certificate_number,owner_name,property_address,property_use,acreage,opening_bid,assessed_value,auction_status,auction_type,auction_url,appraiser_url,clerk_case_url,source_host,scraped_at
citrus,09/16/2026,10:00 AM ET,1651531,2026-0171TD,23-0223,,"3955 E BENNETT ST, INVERNESS, 34453",,,1766.38,4952.0,09/16/2026 10:00 AM ET,TAXDEED,https://www.citrus.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1515448&bypassPage=1,http://www.citruspa.org/_Web/datalets/datalet.aspx?mode=profileall&UseSearch=no&pin=1651531&jur=19&LMparent=20,https://search.citrusclerk.org/TaxSmartWeb/Home/Details?id=12445,www.citrus.realtaxdeed.com,2026-08-25T22:11:01+00:00
citrus,09/16/2026,10:00 AM ET,1651573,2026-0166TD,23-0224,,"4059 E BENNETT ST, INVERNESS, 34453",,,1656.0,4952.0,09/16/2026 10:00 AM ET,TAXDEED,https://www.citrus.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1515453&bypassPage=1,http://www.citruspa.org/_Web/datalets/datalet.aspx?mode=profileall&UseSearch=no&pin=1651573&jur=19&LMparent=20,https://search.citrusclerk.org/TaxSmartWeb/Home/Details?id=12440,www.citrus.realtaxdeed.com,2026-08-25T22:11:01+00:00
citrus,09/16/2026,,1652847,2026-0172TD,23-0229,,504 N SAVARY AVE,,,1333.24,5057.0,Redeemed,TAXDEED,https://www.citrus.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1515447&bypassPage=1,http://www.citruspa.org/_Web/datalets/datalet.aspx?mode=profileall&UseSearch=no&pin=1652847&jur=19&LMparent=20,https://search.citrusclerk.org/TaxSmartWeb/Home/Details?id=12446,www.citrus.realtaxdeed.com,2026-08-25T22:11:01+00:00
citrus,09/16/2026,10:00 AM ET,1653495,2026-0165TD,23-0231,,"3507 E LEE DR, INVERNESS, 34453",,,1748.42,9902.0,09/16/2026 10:00 AM ET,TAXDEED,https://www.citrus.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1515454&bypassPage=1,http://www.citruspa.org/_Web/datalets/datalet.aspx?mode=profileall&UseSearch=no&pin=1653495&jur=19&LMparent=20,https://search.citrusclerk.org/TaxSmartWeb/Home/Details?id=12439,www.citrus.realtaxdeed.com,2026-08-25T22:11:01+00:00
citrus,09/16/2026,10:00 AM ET,1654467,2026-0175TD,23-0235,,"3352 E LEE DR, INVERNESS, 34453",,,1690.54,3707.0,09/16/2026 10:00 AM ET,TAXDEED,https://www.citrus.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1515444&bypassPage=1,http://www.citruspa.org/_Web/datalets/datalet.aspx?mode=profileall&UseSearch=no&pin=1654467&jur=19&LMparent=20,https://search.citrusclerk.org/TaxSmartWeb/Home/Details?id=12449,www.citrus.realtaxdeed.com,2026-08-25T22:11:01+00:00
citrus,09/16/2026,10:00 AM ET,1657407,2026-0149TD,23-0249,,"916 N CHARLES AVE, INVERNESS, 34453",,,709.91,4952.0,09/16/2026 10:00 AM ET,TAXDEED,https://www.citrus.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1517096&bypassPage=1,http://www.citruspa.org/_Web/datalets/datalet.aspx?mode=profileall&UseSearch=no&pin=1657407&jur=19&LMparent=20,https://search.citrusclerk.org/TaxSmartWeb/Home/Details?id=12423,www.citrus.realtaxdeed.com,2026-08-25T22:11:01+00:00
citrus,09/16/2026,10:00 AM ET,1660033,2026-0164TD,23-0258,,"3600 E KIRBY LN, INVERNESS, 34452",,,2181.0,7174.0,09/16/2026 10:00 AM ET,TAXDEED,https://www.citrus.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1515455&bypassPage=1,http://www.citruspa.org/_Web/datalets/datalet.aspx?mode=profileall&UseSearch=no&pin=1660033&jur=19&LMparent=20,https://search.citrusclerk.org/TaxSmartWeb/Home/Details?id=12438,www.citrus.realtaxdeed.com,2026-08-25T22:11:01+00:00
citrus,09/16/2026,10:00 AM ET,1660173,2026-0167TD,23-0259,,"957 S SALLY TER, INVERNESS, 34452",,,1940.34,5617.0,09/16/2026 10:00 AM ET,TAXDEED,https://www.citrus.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1515452&bypassPage=1,http://www.citruspa.org/_Web/datalets/datalet.aspx?mode=profileall&UseSearch=no&pin=1660173&jur=19&LMparent=20,https://search.citrusclerk.org/TaxSmartWeb/Home/Details?id=12441,www.citrus.realtaxdeed.com,2026-08-25T22:11:01+00:00
citrus,09/16/2026,10:00 AM ET,1663393,2026-0162TD,23-0279,,"461 S SNAPP AVE, INVERNESS, 34453",,,1646.3,11108.0,09/16/2026 10:00 AM ET,TAXDEED,https://www.citrus.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1515457&bypassPage=1,http://www.citruspa.org/_Web/datalets/datalet.aspx?mode=profileall&UseSearch=no&pin=1663393&jur=19&LMparent=20,https://search.citrusclerk.org/TaxSmartWeb/Home/Details?id=12436,www.citrus.realtaxdeed.com,2026-08-25T22:11:01+00:00
citrus,09/16/2026,10:00 AM ET,1663962,2026-0173TD,23-0283,,"366 S SAVARY AVE, INVERNESS, 34453",,,1735.63,5815.0,09/16/2026 10:00 AM ET,TAXDEED,https://www.citrus.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1515446&bypassPage=1,http://www.citruspa.org/_Web/datalets/datalet.aspx?mode=profileall&UseSearch=no&pin=1663962&jur=19&LMparent=20,https://search.citrusclerk.org/TaxSmartWeb/Home/Details?id=12447,www.citrus.realtaxdeed.com,2026-08-25T22:11:01+00:00
