county,sale_date,sale_time,parcel_id,case_number,certificate_number,owner_name,property_address,property_use,acreage,opening_bid,assessed_value,auction_status,auction_type,auction_url,appraiser_url,clerk_case_url,source_host,scraped_at
orange,08/27/2026,,032328657801610,2024-5333,,,"7554 SAINT STEPHENS CT, ORLANDO, FL- 32835",,,43338.5,658658.0,Redeemed,TAXDEED,https://www.orange.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1510072&bypassPage=1,https://ocpaweb.ocpafl.org/parcelsearch/Parcel%20ID/032328657801610,,www.orange.realtaxdeed.com,2026-08-25T22:28:52+00:00
orange,08/27/2026,10:00 AM ET,162231000000127,2024-17304,,,"2000 PARK MANOR DR, ORLANDO, FL- 32817",,,39728.54,429540.0,08/27/2026 10:00 AM ET,TAXDEED,https://www.orange.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1510084&bypassPage=1,https://ocpaweb.ocpafl.org/parcelsearch/Parcel%20ID/162231000000127,,www.orange.realtaxdeed.com,2026-08-25T22:28:52+00:00
orange,08/27/2026,10:00 AM ET,212229835201160,2024-8576,,,"950 PINEDALE AVE, ORLANDO, FL- 32808",,,3504.17,12235.0,08/27/2026 10:00 AM ET,TAXDEED,https://www.orange.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1510071&bypassPage=1,https://ocpaweb.ocpafl.org/parcelsearch/Parcel%20ID/212229835201160,,www.orange.realtaxdeed.com,2026-08-25T22:28:52+00:00
orange,08/27/2026,,222232072820194,2024-18853,,,"COMMONWEALTH AVE, ORLANDO, FL- 32820",,,2015.9,19829.0,Redeemed,TAXDEED,https://www.orange.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1510083&bypassPage=1,https://ocpaweb.ocpafl.org/parcelsearch/Parcel%20ID/222232072820194,,www.orange.realtaxdeed.com,2026-08-25T22:28:52+00:00
orange,08/27/2026,,232330000000041,2024-16536,,,"7805 GENTIAN ST, ORLANDO, FL- 32822",,,18426.78,31559.0,Redeemed,TAXDEED,https://www.orange.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1510085&bypassPage=1,https://ocpaweb.ocpafl.org/parcelsearch/Parcel%20ID/232330000000041,,www.orange.realtaxdeed.com,2026-08-25T22:28:52+00:00
orange,08/27/2026,10:00 AM ET,242232621400280,2024-18883,,,"DILL RD, ORLANDO, FL- 32820",,,982.61,1375.0,08/27/2026 10:00 AM ET,TAXDEED,https://www.orange.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1510082&bypassPage=1,https://ocpaweb.ocpafl.org/parcelsearch/Parcel%20ID/242232621400280,,www.orange.realtaxdeed.com,2026-08-25T22:28:52+00:00
orange,08/27/2026,,242232621401470,2024-18898,,,,,,930.96,,Redeemed,TAXDEED,https://www.orange.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1510081&bypassPage=1,https://ocpaweb.ocpafl.org/parcelsearch/Parcel%20ID/242232621401470,,www.orange.realtaxdeed.com,2026-08-25T22:28:52+00:00
orange,08/27/2026,10:00 AM ET,242232621401650,2024-18899,,,"DILL RD, ORLANDO, FL- 32820",,,998.92,1375.0,08/27/2026 10:00 AM ET,TAXDEED,https://www.orange.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1510080&bypassPage=1,https://ocpaweb.ocpafl.org/parcelsearch/Parcel%20ID/242232621401650,,www.orange.realtaxdeed.com,2026-08-25T22:28:52+00:00
orange,08/27/2026,,242232621405050,2024-18942,,,"DILL RD, ORLANDO, FL- 32820",,,1109.39,1375.0,Redeemed,TAXDEED,https://www.orange.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1510079&bypassPage=1,https://ocpaweb.ocpafl.org/parcelsearch/Parcel%20ID/242232621405050,,www.orange.realtaxdeed.com,2026-08-25T22:28:52+00:00
orange,08/27/2026,10:00 AM ET,252232621500320,2024-18949,,,"DILL RD, ORLANDO, FL- 32820",,,995.88,2750.0,08/27/2026 10:00 AM ET,TAXDEED,https://www.orange.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1510078&bypassPage=1,https://ocpaweb.ocpafl.org/parcelsearch/Parcel%20ID/252232621500320,,www.orange.realtaxdeed.com,2026-08-25T22:28:52+00:00
