county,sale_date,sale_time,parcel_id,case_number,certificate_number,owner_name,property_address,property_use,acreage,opening_bid,assessed_value,auction_status,auction_type,auction_url,appraiser_url,clerk_case_url,source_host,scraped_at
volusia,08/25/2026,,412704000170,10542-24,10542-24,,,,,22468.54,,Redeemed,TAXDEED,https://www.volusia.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1509354&bypassPage=1,http://publicaccess.vcgov.org/volusia/search/CommonSearch.aspx?mode=REALPROP&UseSearch=no&altpin=412704000170,http://app02.clerk.org/or_td/pdf_taxdeed.aspx?id=10542-24,www.volusia.realtaxdeed.com,2026-08-25T22:36:43+00:00
volusia,08/25/2026,,422530005190,10954-24,10954-24,,,,,6036.49,,Redeemed,TAXDEED,https://www.volusia.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1509361&bypassPage=1,http://publicaccess.vcgov.org/volusia/search/CommonSearch.aspx?mode=REALPROP&UseSearch=no&altpin=422530005190,http://app02.clerk.org/or_td/pdf_taxdeed.aspx?id=10954-24,www.volusia.realtaxdeed.com,2026-08-25T22:36:43+00:00
volusia,08/25/2026,09:21 AM ET,424235020061,05064-24,5064-24,,"1718 EVERGREEN ST, ORMOND BEACH, FL- 32174",,,2715.26,39500.0,08/25/2026 09:21 AM ET,TAXDEED,https://www.volusia.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1509345&bypassPage=1,http://publicaccess.vcgov.org/volusia/search/CommonSearch.aspx?mode=REALPROP&UseSearch=no&altpin=424235020061,http://app02.clerk.org/or_td/pdf_taxdeed.aspx?id=5064-24,www.volusia.realtaxdeed.com,2026-08-25T22:36:43+00:00
volusia,08/25/2026,,502700000670,00571-24,571-24,,,,,1341.06,,Redeemed,TAXDEED,https://www.volusia.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1509336&bypassPage=1,http://publicaccess.vcgov.org/volusia/search/CommonSearch.aspx?mode=REALPROP&UseSearch=no&altpin=502700000670,http://app02.clerk.org/or_td/pdf_taxdeed.aspx?id=571-24,www.volusia.realtaxdeed.com,2026-08-25T22:36:43+00:00
volusia,08/25/2026,,530952001020,10653-24,10653-24,,,,,5548.11,,Redeemed,TAXDEED,https://www.volusia.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1509357&bypassPage=1,http://publicaccess.vcgov.org/volusia/search/CommonSearch.aspx?mode=REALPROP&UseSearch=no&altpin=530952001020,http://app02.clerk.org/or_td/pdf_taxdeed.aspx?id=10653-24,www.volusia.realtaxdeed.com,2026-08-25T22:36:43+00:00
volusia,08/25/2026,,530953001240,10778-24,10778-24,,,,,5589.82,,Redeemed,TAXDEED,https://www.volusia.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1509359&bypassPage=1,http://publicaccess.vcgov.org/volusia/search/CommonSearch.aspx?mode=REALPROP&UseSearch=no&altpin=530953001240,http://app02.clerk.org/or_td/pdf_taxdeed.aspx?id=10778-24,www.volusia.realtaxdeed.com,2026-08-25T22:36:43+00:00
volusia,08/25/2026,,530953002200,10644-24,10644-24,,,,,5017.69,,Redeemed,TAXDEED,https://www.volusia.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1509355&bypassPage=1,http://publicaccess.vcgov.org/volusia/search/CommonSearch.aspx?mode=REALPROP&UseSearch=no&altpin=530953002200,http://app02.clerk.org/or_td/pdf_taxdeed.aspx?id=10644-24,www.volusia.realtaxdeed.com,2026-08-25T22:36:43+00:00
volusia,08/25/2026,09:37 AM ET,530953003100,10646-24,10646-24,,"1233 S ATLANTIC AVE 3100, DAYTONA BEACH, FL- 32118",,,7127.81,106922.0,08/25/2026 09:37 AM ET,TAXDEED,https://www.volusia.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1509356&bypassPage=1,http://publicaccess.vcgov.org/volusia/search/CommonSearch.aspx?mode=REALPROP&UseSearch=no&altpin=530953003100,http://app02.clerk.org/or_td/pdf_taxdeed.aspx?id=10646-24,www.volusia.realtaxdeed.com,2026-08-25T22:36:43+00:00
volusia,08/25/2026,09:41 AM ET,531630007100,10755-24,10755-24,,"2043 S ATLANTIC AVE 710, DAYTONA BEACH SHORES, FL- 32118",,,5805.69,89987.0,08/25/2026 09:41 AM ET,TAXDEED,https://www.volusia.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1509358&bypassPage=1,http://publicaccess.vcgov.org/volusia/search/CommonSearch.aspx?mode=REALPROP&UseSearch=no&altpin=531630007100,http://app02.clerk.org/or_td/pdf_taxdeed.aspx?id=10755-24,www.volusia.realtaxdeed.com,2026-08-25T22:36:43+00:00
volusia,08/25/2026,,580300000031,00159-24,159-24,,,,,5840.75,,Redeemed,TAXDEED,https://www.volusia.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1509335&bypassPage=1,http://publicaccess.vcgov.org/volusia/search/CommonSearch.aspx?mode=REALPROP&UseSearch=no&altpin=580300000031,http://app02.clerk.org/or_td/pdf_taxdeed.aspx?id=159-24,www.volusia.realtaxdeed.com,2026-08-25T22:36:43+00:00
volusia,08/25/2026,,612101090300,02504-24,2504-24,,"CENTER GRADE, DELAND, FL- 32724",,,1186.21,1188.0,Redeemed,TAXDEED,https://www.volusia.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1509340&bypassPage=1,http://publicaccess.vcgov.org/volusia/search/CommonSearch.aspx?mode=REALPROP&UseSearch=no&altpin=612101090300,http://app02.clerk.org/or_td/pdf_taxdeed.aspx?id=2504-24,www.volusia.realtaxdeed.com,2026-08-25T22:36:43+00:00
volusia,08/25/2026,,633733000730,09971-24,9971-24,,,,,28277.58,,Redeemed,TAXDEED,https://www.volusia.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1509353&bypassPage=1,http://publicaccess.vcgov.org/volusia/search/CommonSearch.aspx?mode=REALPROP&UseSearch=no&altpin=633733000730,http://app02.clerk.org/or_td/pdf_taxdeed.aspx?id=9971-24,www.volusia.realtaxdeed.com,2026-08-25T22:36:43+00:00
volusia,08/25/2026,09:03 AM ET,700113002430,01662-20,1662-20,,"PROPERTY LOCATION IS NOT AVAIL, DELAND, FL- 32724",,,1693.42,850.0,08/25/2026 09:03 AM ET,TAXDEED,https://www.volusia.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1509337&bypassPage=1,http://publicaccess.vcgov.org/volusia/search/CommonSearch.aspx?mode=REALPROP&UseSearch=no&altpin=700113002430,http://app02.clerk.org/or_td/pdf_taxdeed.aspx?id=1662-20,www.volusia.realtaxdeed.com,2026-08-25T22:36:43+00:00
volusia,08/25/2026,,710601110010,02909-24,2909-24,,"NO STREET, COUNTY, FL- 32724",,,1653.9,1563.0,Redeemed,TAXDEED,https://www.volusia.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1509341&bypassPage=1,http://publicaccess.vcgov.org/volusia/search/CommonSearch.aspx?mode=REALPROP&UseSearch=no&altpin=710601110010,http://app02.clerk.org/or_td/pdf_taxdeed.aspx?id=2909-24,www.volusia.realtaxdeed.com,2026-08-25T22:36:43+00:00
volusia,08/25/2026,09:23 AM ET,723601020020,06332-23,6332-23,,"NO STREET, COUNTY, FL- 32168",,,1420.52,781.0,08/25/2026 09:23 AM ET,TAXDEED,https://www.volusia.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1509346&bypassPage=1,http://publicaccess.vcgov.org/volusia/search/CommonSearch.aspx?mode=REALPROP&UseSearch=no&altpin=723601020020,http://app02.clerk.org/or_td/pdf_taxdeed.aspx?id=6332-23,www.volusia.realtaxdeed.com,2026-08-25T22:36:43+00:00
volusia,08/25/2026,,742624002010,09779-24,9779-24,,,,,55238.54,,Redeemed,TAXDEED,https://www.volusia.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1509352&bypassPage=1,http://publicaccess.vcgov.org/volusia/search/CommonSearch.aspx?mode=REALPROP&UseSearch=no&altpin=742624002010,http://app02.clerk.org/or_td/pdf_taxdeed.aspx?id=9779-24,www.volusia.realtaxdeed.com,2026-08-25T22:36:43+00:00
volusia,08/25/2026,09:08 AM ET,800901060010,01987-24,1987-24,,"315 CHARLES AVE, ORANGE CITY, FL- 32763",,,2559.57,53000.0,08/25/2026 09:08 AM ET,TAXDEED,https://www.volusia.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1509338&bypassPage=1,http://publicaccess.vcgov.org/volusia/search/CommonSearch.aspx?mode=REALPROP&UseSearch=no&altpin=800901060010,http://app02.clerk.org/or_td/pdf_taxdeed.aspx?id=1987-24,www.volusia.realtaxdeed.com,2026-08-25T22:36:43+00:00
volusia,08/25/2026,,801108140082,02071-24,2071-24,,"343 N THORPE AVE, ORANGE CITY, FL- 32763",,,9354.24,126556.0,Redeemed,TAXDEED,https://www.volusia.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1509339&bypassPage=1,http://publicaccess.vcgov.org/volusia/search/CommonSearch.aspx?mode=REALPROP&UseSearch=no&altpin=801108140082,http://app02.clerk.org/or_td/pdf_taxdeed.aspx?id=2071-24,www.volusia.realtaxdeed.com,2026-08-25T22:36:43+00:00
volusia,08/25/2026,09:10 AM ET,810404030120,03402-24,3402-24,,"FLORENCE (PAPER) ST, DELTONA, FL- 32738",,,1187.89,3331.0,08/25/2026 09:10 AM ET,TAXDEED,https://www.volusia.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1509342&bypassPage=1,http://publicaccess.vcgov.org/volusia/search/CommonSearch.aspx?mode=REALPROP&UseSearch=no&altpin=810404030120,http://app02.clerk.org/or_td/pdf_taxdeed.aspx?id=3402-24,www.volusia.realtaxdeed.com,2026-08-25T22:36:43+00:00
volusia,08/25/2026,,813002200270,03876-23,3876-23,,"1197 ACORN CT, DELTONA, FL- 32725",,,39702.45,170945.0,Pulled by County,TAXDEED,https://www.volusia.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1509343&bypassPage=1,http://publicaccess.vcgov.org/volusia/search/CommonSearch.aspx?mode=REALPROP&UseSearch=no&altpin=813002200270,http://app02.clerk.org/or_td/pdf_taxdeed.aspx?id=3876-23,www.volusia.realtaxdeed.com,2026-08-25T22:36:43+00:00
volusia,08/25/2026,,813055060070,04068-24,4068-24,,,,,6216.47,,Redeemed,TAXDEED,https://www.volusia.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1509344&bypassPage=1,http://publicaccess.vcgov.org/volusia/search/CommonSearch.aspx?mode=REALPROP&UseSearch=no&altpin=813055060070,http://app02.clerk.org/or_td/pdf_taxdeed.aspx?id=4068-24,www.volusia.realtaxdeed.com,2026-08-25T22:36:43+00:00
volusia,08/25/2026,,840201018480,08323-24,8323-24,,,,,12820.25,,Redeemed,TAXDEED,https://www.volusia.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1509347&bypassPage=1,http://publicaccess.vcgov.org/volusia/search/CommonSearch.aspx?mode=REALPROP&UseSearch=no&altpin=840201018480,http://app02.clerk.org/or_td/pdf_taxdeed.aspx?id=8323-24,www.volusia.realtaxdeed.com,2026-08-25T22:36:43+00:00
volusia,08/25/2026,,840201076190,08377-24,8377-24,,"3024 INDIA PALM DR, EDGEWATER, FL- 32141",,,15052.13,248505.0,Redeemed,TAXDEED,https://www.volusia.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1509348&bypassPage=1,http://publicaccess.vcgov.org/volusia/search/CommonSearch.aspx?mode=REALPROP&UseSearch=no&altpin=840201076190,http://app02.clerk.org/or_td/pdf_taxdeed.aspx?id=8377-24,www.volusia.realtaxdeed.com,2026-08-25T22:36:43+00:00
volusia,08/25/2026,,843807030060,10853-24,10853-24,,,,,11022.74,,Redeemed,TAXDEED,https://www.volusia.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1509360&bypassPage=1,http://publicaccess.vcgov.org/volusia/search/CommonSearch.aspx?mode=REALPROP&UseSearch=no&altpin=843807030060,http://app02.clerk.org/or_td/pdf_taxdeed.aspx?id=10853-24,www.volusia.realtaxdeed.com,2026-08-25T22:36:43+00:00
volusia,08/25/2026,09:25 AM ET,844701002960,08870-23,8870-23,,"NO STREET, COUNTY, FL- 32759",,,1670.3,1544.0,08/25/2026 09:25 AM ET,TAXDEED,https://www.volusia.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1509349&bypassPage=1,http://publicaccess.vcgov.org/volusia/search/CommonSearch.aspx?mode=REALPROP&UseSearch=no&altpin=844701002960,http://app02.clerk.org/or_td/pdf_taxdeed.aspx?id=8870-23,www.volusia.realtaxdeed.com,2026-08-25T22:36:43+00:00
volusia,08/25/2026,,844702060670,09103-23,9103-23,,"OAK HILL, FL- 32759",,,1419.33,1900.0,Redeemed,TAXDEED,https://www.volusia.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1509350&bypassPage=1,http://publicaccess.vcgov.org/volusia/search/CommonSearch.aspx?mode=REALPROP&UseSearch=no&altpin=844702060670,http://app02.clerk.org/or_td/pdf_taxdeed.aspx?id=9103-23,www.volusia.realtaxdeed.com,2026-08-25T22:36:43+00:00
volusia,08/25/2026,09:32 AM ET,844702073000,09156-23,9156-23,,"PROPERTY LOCATION IS NOT AVAIL, OAK HILL, FL- 32759",,,1242.96,1900.0,08/25/2026 09:32 AM ET,TAXDEED,https://www.volusia.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1509351&bypassPage=1,http://publicaccess.vcgov.org/volusia/search/CommonSearch.aspx?mode=REALPROP&UseSearch=no&altpin=844702073000,http://app02.clerk.org/or_td/pdf_taxdeed.aspx?id=9156-23,www.volusia.realtaxdeed.com,2026-08-25T22:36:43+00:00
volusia,08/25/2026,,844702100940,11464-24,11464-24,,"OAK HILL, FL- 32759",,,1102.04,1704.0,Redeemed,TAXDEED,https://www.volusia.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1509362&bypassPage=1,http://publicaccess.vcgov.org/volusia/search/CommonSearch.aspx?mode=REALPROP&UseSearch=no&altpin=844702100940,http://app02.clerk.org/or_td/pdf_taxdeed.aspx?id=11464-24,www.volusia.realtaxdeed.com,2026-08-25T22:36:43+00:00
volusia,09/01/2026,,32080101B270,04342-24,4342-24,,,,,61891.85,,Redeemed,TAXDEED,https://www.volusia.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1510372&bypassPage=1,http://publicaccess.vcgov.org/volusia/search/CommonSearch.aspx?mode=REALPROP&UseSearch=no&altpin=32080101B270,http://app02.clerk.org/or_td/pdf_taxdeed.aspx?id=4342-24,www.volusia.realtaxdeed.com,2026-08-25T22:36:50+00:00
volusia,09/01/2026,09:00 AM ET,383205430110,00037-24,37-24,,"PRINCETON ST, SEVILLE, FL- 32190",,,1141.51,3500.0,09/01/2026 09:00 AM ET,TAXDEED,https://www.volusia.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1510364&bypassPage=1,http://publicaccess.vcgov.org/volusia/search/CommonSearch.aspx?mode=REALPROP&UseSearch=no&altpin=383205430110,http://app02.clerk.org/or_td/pdf_taxdeed.aspx?id=37-24,www.volusia.realtaxdeed.com,2026-08-25T22:36:50+00:00
volusia,09/01/2026,,422014000010,04594-24,4594-24,,,,,12515.97,,Redeemed,TAXDEED,https://www.volusia.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1510373&bypassPage=1,http://publicaccess.vcgov.org/volusia/search/CommonSearch.aspx?mode=REALPROP&UseSearch=no&altpin=422014000010,http://app02.clerk.org/or_td/pdf_taxdeed.aspx?id=4594-24,www.volusia.realtaxdeed.com,2026-08-25T22:36:50+00:00
