county,sale_date,sale_time,parcel_id,case_number,certificate_number,owner_name,property_address,property_use,acreage,opening_bid,assessed_value,auction_status,auction_type,auction_url,appraiser_url,clerk_case_url,source_host,scraped_at
broward,10/26/2026,09:00 AM ET,484107-06-0170,53710,2023/262,,"5236 NW 117 AVE, CORAL SPRINGS, FL- 33076",,,60385.87,,10/26/2026 09:00 AM ET,TAXDEED,https://www.broward.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1517930&bypassPage=1,https://bcpa.net/,,www.broward.realtaxdeed.com,2026-08-31T15:49:19+00:00
broward,10/26/2026,09:00 AM ET,484114-01-2120,53649,2023/380,,"4001 NW 78 TER #N & S, CORAL SPRINGS, FL- 33065",,,50865.05,,10/26/2026 09:00 AM ET,TAXDEED,https://www.broward.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1517921&bypassPage=1,https://bcpa.net/,,www.broward.realtaxdeed.com,2026-08-31T15:49:19+00:00
broward,10/26/2026,09:00 AM ET,484115-AK-3660,53650,2023/443,,"4132 NW 88 AVE #205, CORAL SPRINGS, FL- 33065",,,13938.97,,10/26/2026 09:00 AM ET,TAXDEED,https://www.broward.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1517922&bypassPage=1,https://bcpa.net/,,www.broward.realtaxdeed.com,2026-08-31T15:49:19+00:00
broward,10/26/2026,09:00 AM ET,484115-CB-0840,53637,2023/481,,"4274 NW 89 AVE #207, CORAL SPRINGS, FL- 33065",,,14464.55,,10/26/2026 09:00 AM ET,TAXDEED,https://www.broward.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1517920&bypassPage=1,https://bcpa.net/,,www.broward.realtaxdeed.com,2026-08-31T15:49:19+00:00
broward,10/26/2026,09:00 AM ET,484122-AK-0260,53894,2023/722,,"8421 FOREST HILLS DR #102, CORAL SPRINGS, FL- 33065",,,26346.82,,10/26/2026 09:00 AM ET,TAXDEED,https://www.broward.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1515934&bypassPage=1,https://bcpa.net/,,www.broward.realtaxdeed.com,2026-08-31T15:49:19+00:00
broward,10/26/2026,09:00 AM ET,484134-AB-0200,53867,2023/1108,,"7911 SOUTHGATE BLVD #8B, NORTH LAUDERDALE, FL- 33068",,,16921.64,,10/26/2026 09:00 AM ET,TAXDEED,https://www.broward.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1515931&bypassPage=1,https://bcpa.net/,,www.broward.realtaxdeed.com,2026-08-31T15:49:19+00:00
broward,10/26/2026,09:00 AM ET,494123-DJ-0310,53888,2023/5355,,"4158 INVERRARY DR #309, LAUDERHILL, FL- 33319",,,76765.45,,10/26/2026 09:00 AM ET,TAXDEED,https://www.broward.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1515933&bypassPage=1,https://bcpa.net/,,www.broward.realtaxdeed.com,2026-08-31T15:49:19+00:00
broward,10/26/2026,09:00 AM ET,494126-AB-2090,53726,2023/6089,,"5864 NW 22 ST #75-A, LAUDERHILL, FL- 33313",,,18251.34,,10/26/2026 09:00 AM ET,TAXDEED,https://www.broward.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1517931&bypassPage=1,https://bcpa.net/,,www.broward.realtaxdeed.com,2026-08-31T15:49:19+00:00
broward,10/26/2026,09:00 AM ET,494135-AE-0040,53707,2023/6886,,"5480 NW 11 ST #104, PLANTATION, FL- 33313",,,9293.82,,10/26/2026 09:00 AM ET,TAXDEED,https://www.broward.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1517929&bypassPage=1,https://bcpa.net/,,www.broward.realtaxdeed.com,2026-08-31T15:49:19+00:00
broward,10/26/2026,09:00 AM ET,494136-BK-0170,53694,2023/7081,,"4771 NW 10 CT #216, PLANTATION, FL- 33313",,,42842.87,,10/26/2026 09:00 AM ET,TAXDEED,https://www.broward.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1517927&bypassPage=1,https://bcpa.net/,,www.broward.realtaxdeed.com,2026-08-31T15:49:19+00:00
