county,sale_date,sale_time,parcel_id,case_number,certificate_number,owner_name,property_address,property_use,acreage,opening_bid,assessed_value,auction_status,auction_type,auction_url,appraiser_url,clerk_case_url,source_host,scraped_at
duval,09/16/2026,09:00 AM ET,001820-0285,2026-0396TD,00263-2024,,"11345 KITTRELL PINES TER, JACKSONVILLE, FL- 32220",,,4178.45,81539.0,09/16/2026 09:00 AM ET,TAXDEED,https://www.duval.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1511050&bypassPage=1,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0018200285,,www.duval.realtaxdeed.com,2026-08-31T15:52:40+00:00
duval,09/16/2026,09:00 AM ET,002299-0000,2026-0381TD,00331-2024,,"5026 NATHAN HALE RD, JACKSONVILLE, FL- 32221",,,129464.83,244051.0,09/16/2026 09:00 AM ET,TAXDEED,https://www.duval.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1511043&bypassPage=1,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0022990000,,www.duval.realtaxdeed.com,2026-08-31T15:52:40+00:00
duval,09/16/2026,09:00 AM ET,002731-0000,2026-0388TD,00437-2024,,"6522 BARTH RD, JACKSONVILLE, FL- 32219",,,4748.66,52607.0,09/16/2026 09:00 AM ET,TAXDEED,https://www.duval.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1511058&bypassPage=1,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0027310000,,www.duval.realtaxdeed.com,2026-08-31T15:52:40+00:00
duval,09/16/2026,,003097-0000,2026-0380TD,00525-2024,,"6608 ARMCO ST, JACKSONVILLE, FL- 32219",,,6256.19,78965.0,Redeemed,TAXDEED,https://www.duval.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1511044&bypassPage=1,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0030970000,,www.duval.realtaxdeed.com,2026-08-31T15:52:40+00:00
duval,09/16/2026,09:00 AM ET,003709-0000,2026-0175TD,00629-2024,,"6422 BLUEBIRD RD, JACKSONVILLE, FL- 32219",,,4920.83,68017.0,09/16/2026 09:00 AM ET,TAXDEED,https://www.duval.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1512751&bypassPage=1,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0037090000,,www.duval.realtaxdeed.com,2026-08-31T15:52:40+00:00
duval,09/16/2026,09:00 AM ET,003747-0000,2026-0377TD,00637-2024,,"7524 BOB-O-LINK RD, JACKSONVILLE, FL- 32219",,,10345.14,57623.0,09/16/2026 09:00 AM ET,TAXDEED,https://www.duval.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1511047&bypassPage=1,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0037470000,,www.duval.realtaxdeed.com,2026-08-31T15:52:40+00:00
duval,09/16/2026,09:00 AM ET,004394-0000,2026-0373TD,00794-2024,,"3182 N LANE AVE, JACKSONVILLE, FL- 32254",,,3510.22,31787.0,09/16/2026 09:00 AM ET,TAXDEED,https://www.duval.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1511032&bypassPage=1,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0043940000,,www.duval.realtaxdeed.com,2026-08-31T15:52:40+00:00
duval,09/16/2026,09:00 AM ET,005220-0000,2026-0293TD,00909-2024,,"204 S LANE AVE 4, JACKSONVILLE, FL- 32254",,,9705.45,53447.0,09/16/2026 09:00 AM ET,TAXDEED,https://www.duval.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1511286&bypassPage=1,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0052200000,,www.duval.realtaxdeed.com,2026-08-31T15:52:40+00:00
duval,09/16/2026,09:00 AM ET,005264-0000,2026-0361TD,17142-2024,,"230 SANTA BARBARA AVE, JACKSONVILLE, FL- 32254",,,10059.94,80047.0,09/16/2026 09:00 AM ET,TAXDEED,https://www.duval.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1512821&bypassPage=1,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0052640000,,www.duval.realtaxdeed.com,2026-08-31T15:52:40+00:00
duval,09/16/2026,09:00 AM ET,006131-0000,2026-0333TD,01026-2024,,"7710 PASCHAL ST, JACKSONVILLE, FL- 32220",,,7042.91,116319.0,09/16/2026 09:00 AM ET,TAXDEED,https://www.duval.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1511329&bypassPage=1,https://paopropertysearch.coj.net/Basic/Detail.aspx?RE=0061310000,,www.duval.realtaxdeed.com,2026-08-31T15:52:40+00:00
