county,sale_date,sale_time,parcel_id,case_number,certificate_number,owner_name,property_address,property_use,acreage,opening_bid,assessed_value,auction_status,auction_type,auction_url,appraiser_url,clerk_case_url,source_host,scraped_at
hernando,09/16/2026,,00008244,2026-093TD,24-0002220,,"8 MAE VIEW CIR, BROOKSVILLE, FL- 34601",,,24124.71,,Redeemed,TAXDEED,https://www.hernando.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1515764&bypassPage=1,https://propsearch.hernandocountypa-florida.us/parcel/00008244,https://or.hernandoclerk.com/TaxSmart/Home/Details?id=,www.hernando.realtaxdeed.com,2026-08-31T15:56:39+00:00
hernando,09/16/2026,10:00 AM ET,00032208,2026-114TD,24-0004828,,"34186 BERRYHILL DR, WEBSTER, FL- 33597",,,6494.87,71319.0,09/16/2026 10:00 AM ET,TAXDEED,https://www.hernando.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1515759&bypassPage=1,https://propsearch.hernandocountypa-florida.us/parcel/00032208,https://or.hernandoclerk.com/TaxSmart/Home/Details?id=1005221,www.hernando.realtaxdeed.com,2026-08-31T15:56:39+00:00
hernando,09/16/2026,,00131627,2026-076TD,24-0000734,,"297 BROCKWAY LN, BROOKSVILLE, FL- 34601",,,38902.09,,Redeemed,TAXDEED,https://www.hernando.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1515778&bypassPage=1,https://propsearch.hernandocountypa-florida.us/parcel/00131627,https://or.hernandoclerk.com/TaxSmart/Home/Details?id=,www.hernando.realtaxdeed.com,2026-08-31T15:56:39+00:00
hernando,09/16/2026,10:00 AM ET,00135295,2026-067TD,24-0001500,,"216 ALPINE CIR, BROOKSVILLE, FL- 34601",,,8531.53,90431.0,09/16/2026 10:00 AM ET,TAXDEED,https://www.hernando.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1515787&bypassPage=1,https://propsearch.hernandocountypa-florida.us/parcel/00135295,https://or.hernandoclerk.com/TaxSmart/Home/Details?id=1005174,www.hernando.realtaxdeed.com,2026-08-31T15:56:39+00:00
hernando,09/16/2026,10:00 AM ET,00262815,2026-066TD,24-0003724,,"9260 GIBRALTER ST, SPRING HILL, FL- 34608",,,8744.03,112448.0,09/16/2026 10:00 AM ET,TAXDEED,https://www.hernando.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1515788&bypassPage=1,https://propsearch.hernandocountypa-florida.us/parcel/00262815,https://or.hernandoclerk.com/TaxSmart/Home/Details?id=1005173,www.hernando.realtaxdeed.com,2026-08-31T15:56:39+00:00
hernando,09/16/2026,10:00 AM ET,00268533,2026-079TD,24-0003746,,"9240 ELDRIDGE RD, SPRING HILL, FL- 34608",,,85063.69,154705.0,09/16/2026 10:00 AM ET,TAXDEED,https://www.hernando.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1515775&bypassPage=1,https://propsearch.hernandocountypa-florida.us/parcel/00268533,https://or.hernandoclerk.com/TaxSmart/Home/Details?id=1005186,www.hernando.realtaxdeed.com,2026-08-31T15:56:39+00:00
hernando,09/16/2026,,00271501,2026-078TD,24-0003759,,"1774 LARKIN RD, SPRING HILL, FL- 34608",,,12857.95,177570.0,Redeemed,TAXDEED,https://www.hernando.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1515776&bypassPage=1,https://propsearch.hernandocountypa-florida.us/parcel/00271501,https://or.hernandoclerk.com/TaxSmart/Home/Details?id=1005185,www.hernando.realtaxdeed.com,2026-08-31T15:56:39+00:00
hernando,09/16/2026,,00297725,2026-075TD,24-0004004,,"2100 MARBLE AVE, SPRING HILL, FL- 34609",,,258691.87,,Redeemed,TAXDEED,https://www.hernando.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1515779&bypassPage=1,https://propsearch.hernandocountypa-florida.us/parcel/00297725,https://or.hernandoclerk.com/TaxSmart/Home/Details?id=,www.hernando.realtaxdeed.com,2026-08-31T15:56:39+00:00
hernando,09/16/2026,10:00 AM ET,00399571,2026-072TD,24-0001199,,"10152 FOLEY ST, BROOKSVILLE, FL- 34601",,,11408.21,165794.0,09/16/2026 10:00 AM ET,TAXDEED,https://www.hernando.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1515782&bypassPage=1,https://propsearch.hernandocountypa-florida.us/parcel/00399571,https://or.hernandoclerk.com/TaxSmart/Home/Details?id=1005179,www.hernando.realtaxdeed.com,2026-08-31T15:56:39+00:00
hernando,09/16/2026,,00455297,2026-069TD,24-0003988,,"12416 ARSLAN LN, SPRING HILL, FL- 34609",,,13283.21,168443.0,Redeemed,TAXDEED,https://www.hernando.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1515785&bypassPage=1,https://propsearch.hernandocountypa-florida.us/parcel/00455297,https://or.hernandoclerk.com/TaxSmart/Home/Details?id=1005176,www.hernando.realtaxdeed.com,2026-08-31T15:56:39+00:00
hernando,09/16/2026,,00464811,2026-035TD,24-0004428,,"RIVER RD, SPRING HILL, FL- 34608",,,6662.42,,Redeemed,TAXDEED,https://www.hernando.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1515790&bypassPage=1,https://propsearch.hernandocountypa-florida.us/parcel/00464811,https://or.hernandoclerk.com/TaxSmart/Home/Details?id=,www.hernando.realtaxdeed.com,2026-08-31T15:56:39+00:00
