county,sale_date,sale_time,parcel_id,case_number,certificate_number,owner_name,property_address,property_use,acreage,opening_bid,assessed_value,auction_status,auction_type,auction_url,appraiser_url,clerk_case_url,source_host,scraped_at
polk,09/17/2026,,23-28-10-0256-0000-0431,00113-2026,925,,"2217 CHESTNUT HILLS DR, LAKELAND, FL- 33805",,,12461.42,,Redeemed,TAXDEED,https://www.polk.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1513419&bypassPage=1,http://www.polkflpa.gov/CamaDisplay.aspx?OutputMode=Display&SearchType=RealEstate&Page=FindByID&ParcelID=232810025600000431,http://www.polkcountyclerk.net/,www.polk.realtaxdeed.com,2026-08-31T16:12:08+00:00
polk,09/17/2026,,23-28-12-0510-0000-3170,00124-2026,1177,,"1047 LINCOLN AVE N, LAKELAND, FL- 33805",,,9640.34,141224.0,Redeemed,TAXDEED,https://www.polk.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1513429&bypassPage=1,http://www.polkflpa.gov/CamaDisplay.aspx?OutputMode=Display&SearchType=RealEstate&Page=FindByID&ParcelID=232812051000003170,http://www.polkcountyclerk.net/,www.polk.realtaxdeed.com,2026-08-31T16:12:08+00:00
polk,09/17/2026,,23-28-15-0855-0000-0506,00110-2026,1399,,"2322 PARKER ST W, LAKELAND, FL- 33815",,,11393.6,17114.0,Redeemed,TAXDEED,https://www.polk.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1513416&bypassPage=1,http://www.polkflpa.gov/CamaDisplay.aspx?OutputMode=Display&SearchType=RealEstate&Page=FindByID&ParcelID=232815085500000506,http://www.polkcountyclerk.net/,www.polk.realtaxdeed.com,2026-08-31T16:12:08+00:00
polk,09/17/2026,,23-29-01-0000-0002-1040,00116-2026,1832,,"4320 OLD HWY37, LAKELAND, FL- 33815",,,3475.05,40194.0,Redeemed,TAXDEED,https://www.polk.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1513422&bypassPage=1,http://www.polkflpa.gov/CamaDisplay.aspx?OutputMode=Display&SearchType=RealEstate&Page=FindByID&ParcelID=232901000000021040,http://www.polkcountyclerk.net/,www.polk.realtaxdeed.com,2026-08-31T16:12:08+00:00
polk,09/17/2026,,23-29-12-0000-0001-3080,00118-2026,1935,,"DAIL RD, LAKELAND, FL- 33813",,,2296.09,,Redeemed,TAXDEED,https://www.polk.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1513424&bypassPage=1,http://www.polkflpa.gov/CamaDisplay.aspx?OutputMode=Display&SearchType=RealEstate&Page=FindByID&ParcelID=232912000000013080,http://www.polkcountyclerk.net/,www.polk.realtaxdeed.com,2026-08-31T16:12:08+00:00
polk,09/17/2026,09:30 AM ET,232625000580001420,00123-2026,196.0000,,"436 CREEKWOOD RUN, LAKELAND, FL- 33810",,,3840.03,59826.0,09/17/2026 09:30 AM ET,TAXDEED,https://www.polk.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1513428&bypassPage=1,http://www.polkflpa.gov/CamaDisplay.aspx?OutputMode=Display&SearchType=RealEstate&Page=FindByID&ParcelID=232625000580001420,http://www.polkcountyclerk.net/,www.polk.realtaxdeed.com,2026-08-31T16:12:08+00:00
polk,09/17/2026,09:30 AM ET,232812055500001050,00135-2026,1207,,"204 10TH ST W, LAKELAND, FL- 33805",,,5835.62,36410.0,09/17/2026 09:30 AM ET,TAXDEED,https://www.polk.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1513435&bypassPage=1,http://www.polkflpa.gov/CamaDisplay.aspx?OutputMode=Display&SearchType=RealEstate&Page=FindByID&ParcelID=232812055500001050,http://www.polkcountyclerk.net/,www.polk.realtaxdeed.com,2026-08-31T16:12:08+00:00
polk,09/17/2026,09:30 AM ET,232815085500000818,00111-2026,1404,,"2206 DILLE ST, LAKELAND, FL- 33815",,,4508.1,17680.0,09/17/2026 09:30 AM ET,TAXDEED,https://www.polk.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1513417&bypassPage=1,http://www.polkflpa.gov/CamaDisplay.aspx?OutputMode=Display&SearchType=RealEstate&Page=FindByID&ParcelID=232815085500000818,http://www.polkcountyclerk.net/,www.polk.realtaxdeed.com,2026-08-31T16:12:08+00:00
polk,09/17/2026,09:30 AM ET,232815085500001107,00112-2026,1411,,"2117 AZALEA CT, LAKELAND, FL- 33815",,,5413.03,28432.0,09/17/2026 09:30 AM ET,TAXDEED,https://www.polk.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1513418&bypassPage=1,http://www.polkflpa.gov/CamaDisplay.aspx?OutputMode=Display&SearchType=RealEstate&Page=FindByID&ParcelID=232815085500001107,http://www.polkcountyclerk.net/,www.polk.realtaxdeed.com,2026-08-31T16:12:08+00:00
polk,09/17/2026,09:30 AM ET,232822091000000404,00136-2026,1516,,"1210 WILKINSON RD, LAKELAND, FL- 33803",,,8547.6,106774.0,09/17/2026 09:30 AM ET,TAXDEED,https://www.polk.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1513436&bypassPage=1,http://www.polkflpa.gov/CamaDisplay.aspx?OutputMode=Display&SearchType=RealEstate&Page=FindByID&ParcelID=232822091000000404,http://www.polkcountyclerk.net/,www.polk.realtaxdeed.com,2026-08-31T16:12:08+00:00
polk,09/17/2026,09:30 AM ET,232825127000006120,00139-2026,1749,,"929 GOLDEN RULE CT S, LAKELAND, FL- 33803",,,9308.9,136214.0,09/17/2026 09:30 AM ET,TAXDEED,https://www.polk.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1513438&bypassPage=1,http://www.polkflpa.gov/CamaDisplay.aspx?OutputMode=Display&SearchType=RealEstate&Page=FindByID&ParcelID=232825127000006120,http://www.polkcountyclerk.net/,www.polk.realtaxdeed.com,2026-08-31T16:12:08+00:00
polk,09/17/2026,09:30 AM ET,232826000000032040,00128-2026,1778,,"1601 FAYE ST, LAKELAND, FL- 33803",,,6532.66,32156.0,09/17/2026 09:30 AM ET,TAXDEED,https://www.polk.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1513430&bypassPage=1,http://www.polkflpa.gov/CamaDisplay.aspx?OutputMode=Display&SearchType=RealEstate&Page=FindByID&ParcelID=232826000000032040,http://www.polkcountyclerk.net/,www.polk.realtaxdeed.com,2026-08-31T16:12:08+00:00
polk,09/17/2026,09:30 AM ET,232920000000033090,00129-2026,2070,,"4400 EWELL RD, LAKELAND, FL- 33811",,,8019.1,99406.0,09/17/2026 09:30 AM ET,TAXDEED,https://www.polk.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1513431&bypassPage=1,http://www.polkflpa.gov/CamaDisplay.aspx?OutputMode=Display&SearchType=RealEstate&Page=FindByID&ParcelID=232920000000033090,http://www.polkcountyclerk.net/,www.polk.realtaxdeed.com,2026-08-31T16:12:08+00:00
polk,09/17/2026,09:30 AM ET,232923000000044070,00140-2026,2094,,"1901 SHEPHERD RD, LAKELAND, FL- 33811",,,19131.29,321083.0,09/17/2026 09:30 AM ET,TAXDEED,https://www.polk.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1513449&bypassPage=1,http://www.polkflpa.gov/CamaDisplay.aspx?OutputMode=Display&SearchType=RealEstate&Page=FindByID&ParcelID=232923000000044070,http://www.polkcountyclerk.net/,www.polk.realtaxdeed.com,2026-08-31T16:12:08+00:00
polk,09/17/2026,09:30 AM ET,232931142217000070,00107-2026,2196,,"4324 UPPER MEADOW RD, MULBERRY, FL- 33860",,,7434.18,73874.0,09/17/2026 09:30 AM ET,TAXDEED,https://www.polk.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1513413&bypassPage=1,http://www.polkflpa.gov/CamaDisplay.aspx?OutputMode=Display&SearchType=RealEstate&Page=FindByID&ParcelID=232931142217000070,http://www.polkcountyclerk.net/,www.polk.realtaxdeed.com,2026-08-31T16:12:08+00:00
polk,09/17/2026,09:30 AM ET,232933142383000820,00108-2026,2247,,"3389 OAK MEADOWS CT, MULBERRY, FL- 33860",,,4679.27,31000.0,09/17/2026 09:30 AM ET,TAXDEED,https://www.polk.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1513414&bypassPage=1,http://www.polkflpa.gov/CamaDisplay.aspx?OutputMode=Display&SearchType=RealEstate&Page=FindByID&ParcelID=232933142383000820,http://www.polkcountyclerk.net/,www.polk.realtaxdeed.com,2026-08-31T16:12:08+00:00
polk,09/17/2026,09:30 AM ET,233001144120015050,00109-2026,2312,,"502 1ST AVE NE, MULBERRY, FL- 33860",,,133250.94,279843.0,09/17/2026 09:30 AM ET,TAXDEED,https://www.polk.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1513415&bypassPage=1,http://www.polkflpa.gov/CamaDisplay.aspx?OutputMode=Display&SearchType=RealEstate&Page=FindByID&ParcelID=233001144120015050,http://www.polkcountyclerk.net/,www.polk.realtaxdeed.com,2026-08-31T16:12:08+00:00
