county,sale_date,sale_time,parcel_id,case_number,certificate_number,owner_name,property_address,property_use,acreage,opening_bid,assessed_value,auction_status,auction_type,auction_url,appraiser_url,clerk_case_url,source_host,scraped_at
washington,09/15/2026,10:00 AM,00000000-03-0282-0027,2026-TD-132,20-00-02204,,"OVERTON DR, CHIPLEY, FL- 32428",,,2543.45,2900.0,09/15/2026 10:00 AM CT,TAXDEED,https://www.washington.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1498276&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=896&LayerID=16944&PageTypeID=4&PageID=7615&Q=2073331570&KeyValue=00000000-03-0282-0027,,www.washington.realtaxdeed.com,2026-08-31T16:18:44+00:00
washington,09/15/2026,,00000000-04-1642-0007,2026-TD-146,19-00-02219,,"KINLOCK DR, CHIPLEY, FL- 32428",,,2514.67,2900.0,Redeemed,TAXDEED,https://www.washington.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1498278&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=896&LayerID=16944&PageTypeID=4&PageID=7615&Q=2073331570&KeyValue=00000000-04-1642-0007,,www.washington.realtaxdeed.com,2026-08-31T16:18:44+00:00
washington,09/15/2026,10:00 AM,00000000-04-1643-0008,2026-TD-119,19-00-02221,,"MARLENE ST, CHIPLEY, FL- 32428",,,2375.33,2900.0,09/15/2026 10:00 AM CT,TAXDEED,https://www.washington.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1498283&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=896&LayerID=16944&PageTypeID=4&PageID=7615&Q=2073331570&KeyValue=00000000-04-1643-0008,,www.washington.realtaxdeed.com,2026-08-31T16:18:44+00:00
washington,09/15/2026,,00000000-08-0485-0010,2026-TD-147,20-00-02906,,"ELKCAM BLVD, CHIPLEY, FL- 32428",,,2222.51,2900.0,Redeemed,TAXDEED,https://www.washington.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1498266&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=896&LayerID=16944&PageTypeID=4&PageID=7615&Q=2073331570&KeyValue=00000000-08-0485-0010,,www.washington.realtaxdeed.com,2026-08-31T16:18:44+00:00
washington,09/15/2026,10:00 AM,00000000-08-0496-0015,2026-TD-148,19-00-02804,,"CAMDEN PL, CHIPLEY, FL- 32428",,,2348.04,2900.0,09/15/2026 10:00 AM CT,TAXDEED,https://www.washington.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1498277&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=896&LayerID=16944&PageTypeID=4&PageID=7615&Q=2073331570&KeyValue=00000000-08-0496-0015,,www.washington.realtaxdeed.com,2026-08-31T16:18:44+00:00
washington,09/15/2026,10:00 AM,00000000-08-0501-0006,2026-TD-149,19-00-02823,,"WASHINGTON BLVD, CHIPLEY, FL- 32428",,,2411.0,2900.0,09/15/2026 10:00 AM CT,TAXDEED,https://www.washington.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1498244&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=896&LayerID=16944&PageTypeID=4&PageID=7615&Q=2073331570&KeyValue=00000000-08-0501-0006,,www.washington.realtaxdeed.com,2026-08-31T16:18:44+00:00
washington,09/15/2026,10:00 AM,00000000-08-0512-0003,2026-TD-150,19-00-02868,,"DELTONA BLVD, CHIPLEY, FL- 32428",,,2540.24,2900.0,09/15/2026 10:00 AM CT,TAXDEED,https://www.washington.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1498238&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=896&LayerID=16944&PageTypeID=4&PageID=7615&Q=2073331570&KeyValue=00000000-08-0512-0003,,www.washington.realtaxdeed.com,2026-08-31T16:18:44+00:00
washington,09/15/2026,10:00 AM,00000000-08-0512-0004,2026-TD-151,19-00-02869,,"DELTONA BLVD, CHIPLEY, FL- 32428",,,2462.28,2900.0,09/15/2026 10:00 AM CT,TAXDEED,https://www.washington.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1498252&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=896&LayerID=16944&PageTypeID=4&PageID=7615&Q=2073331570&KeyValue=00000000-08-0512-0004,,www.washington.realtaxdeed.com,2026-08-31T16:18:44+00:00
washington,09/15/2026,10:00 AM,00000000-08-0512-0005,2026-TD-152,19-00-02870,,"DELTONA BLVD, CHIPLEY, FL- 32428",,,2474.62,2900.0,09/15/2026 10:00 AM CT,TAXDEED,https://www.washington.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1498255&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=896&LayerID=16944&PageTypeID=4&PageID=7615&Q=2073331570&KeyValue=00000000-08-0512-0005,,www.washington.realtaxdeed.com,2026-08-31T16:18:44+00:00
washington,09/15/2026,10:00 AM,00000000-08-0512-0006,2026-TD-153,19-00-02871,,"DELTONA BLVD, CHIPLEY, FL- 32428",,,2474.62,2900.0,09/15/2026 10:00 AM CT,TAXDEED,https://www.washington.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1498261&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=896&LayerID=16944&PageTypeID=4&PageID=7615&Q=2073331570&KeyValue=00000000-08-0512-0006,,www.washington.realtaxdeed.com,2026-08-31T16:18:44+00:00
washington,09/15/2026,10:00 AM,00000000-08-0512-0008,2026-TD-154,19-00-02872,,"DELTONA BLVD, CHIPLEY, FL- 32428",,,2347.97,2900.0,09/15/2026 10:00 AM CT,TAXDEED,https://www.washington.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1498344&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=896&LayerID=16944&PageTypeID=4&PageID=7615&Q=2073331570&KeyValue=00000000-08-0512-0008,,www.washington.realtaxdeed.com,2026-08-31T16:18:44+00:00
washington,09/15/2026,10:00 AM,00000000-08-0523-0020,2026-TD-155,19-00-02895,,"DELTONA BLVD, CHIPLEY, FL- 32428",,,2452.8,2900.0,09/15/2026 10:00 AM CT,TAXDEED,https://www.washington.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1498349&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=896&LayerID=16944&PageTypeID=4&PageID=7615&Q=2073331570&KeyValue=00000000-08-0523-0020,,www.washington.realtaxdeed.com,2026-08-31T16:18:44+00:00
washington,09/15/2026,10:00 AM,00000000-08-0523-0025,2026-TD-156,19-00-02896,,"DELTONA BLVD, CHIPLEY, FL- 32428",,,2411.0,2900.0,09/15/2026 10:00 AM CT,TAXDEED,https://www.washington.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1498351&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=896&LayerID=16944&PageTypeID=4&PageID=7615&Q=2073331570&KeyValue=00000000-08-0523-0025,,www.washington.realtaxdeed.com,2026-08-31T16:18:44+00:00
washington,09/15/2026,,00000000-08-0523-0026,2026-TD-157,19-00-02897,,"DELTONA BLVD, CHIPLEY, FL- 32428",,,2344.09,2900.0,Redeemed,TAXDEED,https://www.washington.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1498352&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=896&LayerID=16944&PageTypeID=4&PageID=7615&Q=2073331570&KeyValue=00000000-08-0523-0026,,www.washington.realtaxdeed.com,2026-08-31T16:18:44+00:00
washington,09/15/2026,10:00 AM,00000000-08-0530-0026,2026-TD-158,19-00-02913,,"DELTONA BLVD, CHIPLEY, FL- 32428",,,2462.28,2900.0,09/15/2026 10:00 AM CT,TAXDEED,https://www.washington.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1498356&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=896&LayerID=16944&PageTypeID=4&PageID=7615&Q=2073331570&KeyValue=00000000-08-0530-0026,,www.washington.realtaxdeed.com,2026-08-31T16:18:44+00:00
washington,09/15/2026,10:00 AM,00000000-10-0613-0014,2026-TD-139,23-00-02978,,"MARIPOSA CT, CHIPLEY, FL- 32428",,,2294.22,2900.0,09/15/2026 10:00 AM CT,TAXDEED,https://www.washington.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1498342&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=896&LayerID=16944&PageTypeID=4&PageID=7615&Q=2073331570&KeyValue=00000000-10-0613-0014,,www.washington.realtaxdeed.com,2026-08-31T16:18:44+00:00
washington,09/15/2026,10:00 AM,00000000-19-0139-0018,2026-TD-128,19-00-03699,,"EVA PL, CHIPLEY, FL- 32428",,,2313.45,2900.0,09/15/2026 10:00 AM CT,TAXDEED,https://www.washington.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1498293&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=896&LayerID=16944&PageTypeID=4&PageID=7615&Q=2073331570&KeyValue=00000000-19-0139-0018,,www.washington.realtaxdeed.com,2026-08-31T16:18:44+00:00
