county,sale_date,sale_time,parcel_id,case_number,certificate_number,owner_name,property_address,property_use,acreage,opening_bid,assessed_value,auction_status,auction_type,auction_url,appraiser_url,clerk_case_url,source_host,scraped_at
brevard,09/17/2026,09:00 AM ET,2000808,260129,61,,0 UNKNOWN,,,1050.5,770.0,09/17/2026 09:00 AM ET,TAXDEED,https://www.brevard.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1509141&bypassPage=1,https://www.bcpao.us/PropertySearch/#/parcel/2000808,,www.brevard.realforeclose.com,2026-09-02T01:47:39+00:00
brevard,09/17/2026,,2001122,260133,101,,0 UNKNOWN,,,1127.42,1220.0,Redeemed,TAXDEED,https://www.brevard.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1509144&bypassPage=1,https://www.bcpao.us/PropertySearch/#/parcel/2001122,,www.brevard.realforeclose.com,2026-09-02T01:47:39+00:00
brevard,09/17/2026,,2100366,260182,397,,"2450 BAR C RD, MIMS, FL- 32754",,,4408.48,57670.0,Redeemed,TAXDEED,https://www.brevard.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1510744&bypassPage=1,https://www.bcpao.us/PropertySearch/#/parcel/2100366,,www.brevard.realforeclose.com,2026-09-02T01:47:39+00:00
brevard,09/17/2026,09:00 AM ET,2101003,260104,444,,"4304 LONDON TOWN RD #D122, TITUSVILLE, FL- 32796",,,23579.42,41160.0,09/17/2026 09:00 AM ET,TAXDEED,https://www.brevard.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1506562&bypassPage=1,https://www.bcpao.us/PropertySearch/#/parcel/2101003,,www.brevard.realforeclose.com,2026-09-02T01:47:39+00:00
brevard,09/17/2026,,2103250,260106,567,,"2571 PINEAPPLE AVE, MIMS, FL- 32754",,,5978.12,90560.0,Redeemed,TAXDEED,https://www.brevard.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1507080&bypassPage=1,https://www.bcpao.us/PropertySearch/#/parcel/2103250,,www.brevard.realforeclose.com,2026-09-02T01:47:39+00:00
brevard,09/17/2026,09:00 AM ET,2103356,260109,581,,"2715 MARIGOLD AVE, MIMS, FL- 32754",,,12395.02,211180.0,09/17/2026 09:00 AM ET,TAXDEED,https://www.brevard.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1507738&bypassPage=1,https://www.bcpao.us/PropertySearch/#/parcel/2103356,,www.brevard.realforeclose.com,2026-09-02T01:47:39+00:00
brevard,09/17/2026,09:00 AM ET,2103555,260130,601,,0 UNKNOWN,,,4468.15,22500.0,09/17/2026 09:00 AM ET,TAXDEED,https://www.brevard.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1509142&bypassPage=1,https://www.bcpao.us/PropertySearch/#/parcel/2103555,,www.brevard.realforeclose.com,2026-09-02T01:47:39+00:00
brevard,09/17/2026,,2103635,260125,621,,"2602 GRAY LN, MIMS, FL- 32754",,,1447.6,12000.0,Redeemed,TAXDEED,https://www.brevard.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1509135&bypassPage=1,https://www.bcpao.us/PropertySearch/#/parcel/2103635,,www.brevard.realforeclose.com,2026-09-02T01:47:39+00:00
brevard,09/17/2026,09:00 AM ET,2103646,260126,624,,0 UNKNOWN,,,2578.07,12000.0,09/17/2026 09:00 AM ET,TAXDEED,https://www.brevard.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1509136&bypassPage=1,https://www.bcpao.us/PropertySearch/#/parcel/2103646,,www.brevard.realforeclose.com,2026-09-02T01:47:39+00:00
brevard,09/17/2026,,2105718,260102,722,,"1630 WEST CT, TITUSVILLE, FL- 32796",,,9139.05,125330.0,Redeemed,TAXDEED,https://www.brevard.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1506560&bypassPage=1,https://www.bcpao.us/PropertySearch/#/parcel/2105718,,www.brevard.realforeclose.com,2026-09-02T01:47:39+00:00
brevard,09/17/2026,09:00 AM ET,2105897,260103,728,,"1665 RICE AVE, TITUSVILLE, FL- 32796",,,92246.03,165970.0,09/17/2026 09:00 AM ET,TAXDEED,https://www.brevard.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1506561&bypassPage=1,https://www.bcpao.us/PropertySearch/#/parcel/2105897,,www.brevard.realforeclose.com,2026-09-02T01:47:39+00:00
brevard,09/17/2026,09:00 AM ET,2107909,260107,780,,"3830 BARCELONA ST, TITUSVILLE, FL- 32796",,,8031.51,102890.0,09/17/2026 09:00 AM ET,TAXDEED,https://www.brevard.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1507083&bypassPage=1,https://www.bcpao.us/PropertySearch/#/parcel/2107909,,www.brevard.realforeclose.com,2026-09-02T01:47:39+00:00
brevard,09/17/2026,09:00 AM ET,2107954,260105,781,,"3965 DEAUVILLE ST, TITUSVILLE, FL- 32796",,,8403.55,111610.0,09/17/2026 09:00 AM ET,TAXDEED,https://www.brevard.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1507079&bypassPage=1,https://www.bcpao.us/PropertySearch/#/parcel/2107954,,www.brevard.realforeclose.com,2026-09-02T01:47:39+00:00
