county,sale_date,sale_time,parcel_id,case_number,certificate_number,owner_name,property_address,property_use,acreage,opening_bid,assessed_value,auction_status,auction_type,auction_url,appraiser_url,clerk_case_url,source_host,scraped_at
charlotte,09/15/2026,,422104226001,26-0330,2024-9899,,,,,2030.65,,Redeemed,TAXDEED,https://www.charlotte.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1513862&bypassPage=1,http://www.ccappraiser.com/Show_parcel.asp?acct=422104226001&gen=T&tax=T&bld=T&oth=T&sal=T&lnd=T&leg=T,https://recording.charlotteclerk.com/Render/ViewDocuments?inFromSearch=INSTRUMENTNUMBER&inDirectReverse=&inFirstName=&inLastName=&inMiddleName=&inBusinessName=&inBookType=&inBook=&inPage=&inStartDate=&inEndDate=&inCaseNumber=&inInstrumentNumber=&inLegal=&inDocumentTypeIds=,www.charlotte.realforeclose.com,2026-09-02T01:50:14+00:00
charlotte,09/15/2026,,422104226003,26-0329,2024-9900,,,,,1988.78,,Redeemed,TAXDEED,https://www.charlotte.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1513863&bypassPage=1,http://www.ccappraiser.com/Show_parcel.asp?acct=422104226003&gen=T&tax=T&bld=T&oth=T&sal=T&lnd=T&leg=T,https://recording.charlotteclerk.com/Render/ViewDocuments?inFromSearch=INSTRUMENTNUMBER&inDirectReverse=&inFirstName=&inLastName=&inMiddleName=&inBusinessName=&inBookType=&inBook=&inPage=&inStartDate=&inEndDate=&inCaseNumber=&inInstrumentNumber=&inLegal=&inDocumentTypeIds=,www.charlotte.realforeclose.com,2026-09-02T01:50:14+00:00
charlotte,09/15/2026,,422104453002,26-0282,2024-10009,,,,,2042.99,,Redeemed,TAXDEED,https://www.charlotte.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1513910&bypassPage=1,http://www.ccappraiser.com/Show_parcel.asp?acct=422104453002&gen=T&tax=T&bld=T&oth=T&sal=T&lnd=T&leg=T,https://recording.charlotteclerk.com/Render/ViewDocuments?inFromSearch=INSTRUMENTNUMBER&inDirectReverse=&inFirstName=&inLastName=&inMiddleName=&inBusinessName=&inBookType=&inBook=&inPage=&inStartDate=&inEndDate=&inCaseNumber=&inInstrumentNumber=&inLegal=&inDocumentTypeIds=,www.charlotte.realforeclose.com,2026-09-02T01:50:14+00:00
charlotte,09/15/2026,09:00 AM ET,422105252006,26-0297,2024-10078,,"12196 SEA-ROBIN LN, PLACIDA, FL- 33946",,,2163.06,8712.0,09/15/2026 09:00 AM ET,TAXDEED,https://www.charlotte.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1513897&bypassPage=1,http://www.ccappraiser.com/Show_parcel.asp?acct=422105252006&gen=T&tax=T&bld=T&oth=T&sal=T&lnd=T&leg=T,https://recording.charlotteclerk.com/Render/ViewDocuments?inFromSearch=INSTRUMENTNUMBER&inDirectReverse=&inFirstName=&inLastName=&inMiddleName=&inBusinessName=&inBookType=&inBook=&inPage=&inStartDate=&inEndDate=&inCaseNumber=&inInstrumentNumber=&inLegal=&inDocumentTypeIds=,www.charlotte.realforeclose.com,2026-09-02T01:50:14+00:00
charlotte,09/15/2026,09:00 AM ET,422105255006,26-0298,2024-10086,,"13412 ANCHOVY LN, PLACIDA, FL- 33946",,,2599.63,5008.0,09/15/2026 09:00 AM ET,TAXDEED,https://www.charlotte.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1513896&bypassPage=1,http://www.ccappraiser.com/Show_parcel.asp?acct=422105255006&gen=T&tax=T&bld=T&oth=T&sal=T&lnd=T&leg=T,https://recording.charlotteclerk.com/Render/ViewDocuments?inFromSearch=INSTRUMENTNUMBER&inDirectReverse=&inFirstName=&inLastName=&inMiddleName=&inBusinessName=&inBookType=&inBook=&inPage=&inStartDate=&inEndDate=&inCaseNumber=&inInstrumentNumber=&inLegal=&inDocumentTypeIds=,www.charlotte.realforeclose.com,2026-09-02T01:50:14+00:00
charlotte,09/15/2026,09:00 AM ET,422105332006,26-0299,2024-10138,,"13732 WALLEYE WAY, PLACIDA, FL- 33946",,,1993.33,5008.0,09/15/2026 09:00 AM ET,TAXDEED,https://www.charlotte.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1513895&bypassPage=1,http://www.ccappraiser.com/Show_parcel.asp?acct=422105332006&gen=T&tax=T&bld=T&oth=T&sal=T&lnd=T&leg=T,https://recording.charlotteclerk.com/Render/ViewDocuments?inFromSearch=INSTRUMENTNUMBER&inDirectReverse=&inFirstName=&inLastName=&inMiddleName=&inBusinessName=&inBookType=&inBook=&inPage=&inStartDate=&inEndDate=&inCaseNumber=&inInstrumentNumber=&inLegal=&inDocumentTypeIds=,www.charlotte.realforeclose.com,2026-09-02T01:50:14+00:00
charlotte,09/15/2026,09:00 AM ET,422105384008,26-0300,2024-10176,,"12451 HAGFISH CT, PLACIDA, FL- 33946",,,2353.31,11050.0,09/15/2026 09:00 AM ET,TAXDEED,https://www.charlotte.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1513894&bypassPage=1,http://www.ccappraiser.com/Show_parcel.asp?acct=422105384008&gen=T&tax=T&bld=T&oth=T&sal=T&lnd=T&leg=T,https://recording.charlotteclerk.com/Render/ViewDocuments?inFromSearch=INSTRUMENTNUMBER&inDirectReverse=&inFirstName=&inLastName=&inMiddleName=&inBusinessName=&inBookType=&inBook=&inPage=&inStartDate=&inEndDate=&inCaseNumber=&inInstrumentNumber=&inLegal=&inDocumentTypeIds=,www.charlotte.realforeclose.com,2026-09-02T01:50:14+00:00
charlotte,09/15/2026,,422109126004,26-0283,2024-10205,,,,,2815.55,,Redeemed,TAXDEED,https://www.charlotte.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1513909&bypassPage=1,http://www.ccappraiser.com/Show_parcel.asp?acct=422109126004&gen=T&tax=T&bld=T&oth=T&sal=T&lnd=T&leg=T,https://recording.charlotteclerk.com/Render/ViewDocuments?inFromSearch=INSTRUMENTNUMBER&inDirectReverse=&inFirstName=&inLastName=&inMiddleName=&inBusinessName=&inBookType=&inBook=&inPage=&inStartDate=&inEndDate=&inCaseNumber=&inInstrumentNumber=&inLegal=&inDocumentTypeIds=,www.charlotte.realforeclose.com,2026-09-02T01:50:14+00:00
charlotte,09/15/2026,,422109127003,26-0284,2024-10207,,,,,1989.76,,Redeemed,TAXDEED,https://www.charlotte.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1513908&bypassPage=1,http://www.ccappraiser.com/Show_parcel.asp?acct=422109127003&gen=T&tax=T&bld=T&oth=T&sal=T&lnd=T&leg=T,https://recording.charlotteclerk.com/Render/ViewDocuments?inFromSearch=INSTRUMENTNUMBER&inDirectReverse=&inFirstName=&inLastName=&inMiddleName=&inBusinessName=&inBookType=&inBook=&inPage=&inStartDate=&inEndDate=&inCaseNumber=&inInstrumentNumber=&inLegal=&inDocumentTypeIds=,www.charlotte.realforeclose.com,2026-09-02T01:50:14+00:00
charlotte,09/15/2026,,422109127004,26-0285,2024-10208,,,,,1993.54,,Redeemed,TAXDEED,https://www.charlotte.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1513907&bypassPage=1,http://www.ccappraiser.com/Show_parcel.asp?acct=422109127004&gen=T&tax=T&bld=T&oth=T&sal=T&lnd=T&leg=T,https://recording.charlotteclerk.com/Render/ViewDocuments?inFromSearch=INSTRUMENTNUMBER&inDirectReverse=&inFirstName=&inLastName=&inMiddleName=&inBusinessName=&inBookType=&inBook=&inPage=&inStartDate=&inEndDate=&inCaseNumber=&inInstrumentNumber=&inLegal=&inDocumentTypeIds=,www.charlotte.realforeclose.com,2026-09-02T01:50:14+00:00
