county,sale_date,sale_time,parcel_id,case_number,certificate_number,owner_name,property_address,property_use,acreage,opening_bid,assessed_value,auction_status,auction_type,auction_url,appraiser_url,clerk_case_url,source_host,scraped_at
manatee,09/14/2026,,1199300003,2026TD000111,2024-1495,,"306 24TH ST NE, BRADENTON, FL- 34208",,,6590.07,66792.0,Redeemed,TAXDEED,https://www.manatee.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1508112&bypassPage=1,https://www.manateepao.com/parcel/?parid=1199300003,,www.manatee.realforeclose.com,2026-09-02T01:54:48+00:00
manatee,09/14/2026,,1286400005,2026TD000068,2024-1525,,"712 17TH STREET CT E, BRADENTON, FL- 34208",,,3215.99,36312.0,Redeemed,TAXDEED,https://www.manatee.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1508310&bypassPage=1,https://www.manateepao.com/parcel/?parid=1286400005,,www.manatee.realforeclose.com,2026-09-02T01:54:48+00:00
manatee,09/14/2026,,1290800000,2026TD000069,2024-1530,,"1910 MANATEE AVE E, BRADENTON, FL- 34208",,,3316.93,109480.0,Redeemed,TAXDEED,https://www.manatee.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1508311&bypassPage=1,https://www.manateepao.com/parcel/?parid=1290800000,,www.manatee.realforeclose.com,2026-09-02T01:54:48+00:00
manatee,09/14/2026,,1741005357,2026TD000113,2024-2002,,"5508 47TH CT E, BRADENTON, FL- 34203",,,22194.47,384549.0,Redeemed,TAXDEED,https://www.manatee.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1508208&bypassPage=1,https://www.manateepao.com/parcel/?parid=1741005357,,www.manatee.realforeclose.com,2026-09-02T01:54:48+00:00
manatee,09/14/2026,10:00 AM ET,1771700000,2026TD000114,2024-2033,,"5324 34TH ST E, BRADENTON, FL- 34203",,,13268.38,281942.0,09/14/2026 10:00 AM ET,TAXDEED,https://www.manatee.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1508209&bypassPage=1,https://www.manateepao.com/parcel/?parid=1771700000,,www.manatee.realforeclose.com,2026-09-02T01:54:48+00:00
manatee,09/14/2026,,183900000,2026TD000112,2024-155,,"10441 MYAKKA BLVD, MYAKKA CITY, FL- 34251",,,4669.67,43937.0,Redeemed,TAXDEED,https://www.manatee.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1508173&bypassPage=1,https://www.manateepao.com/parcel/?parid=183900000,,www.manatee.realforeclose.com,2026-09-02T01:54:48+00:00
manatee,09/14/2026,,1845410057,2026TD000115,2024-2076,,"6070 17TH ST E, BRADENTON, FL- 34203",,,16714.71,275380.0,Redeemed,TAXDEED,https://www.manatee.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1508212&bypassPage=1,https://www.manateepao.com/parcel/?parid=1845410057,,www.manatee.realforeclose.com,2026-09-02T01:54:48+00:00
manatee,09/14/2026,,1847300751,2026TD000116,2024-2077,,"2118 60TH DR E, BRADENTON, FL- 34203",,,26430.84,392259.0,Redeemed,TAXDEED,https://www.manatee.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1508308&bypassPage=1,https://www.manateepao.com/parcel/?parid=1847300751,,www.manatee.realforeclose.com,2026-09-02T01:54:48+00:00
manatee,09/14/2026,,1918561709,2026TD000118,2024-2164,,"8983 WHITE SAGE LOOP, BRADENTON, FL- 34202",,,12096.21,199750.0,Redeemed,TAXDEED,https://www.manatee.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1508494&bypassPage=1,https://www.manateepao.com/parcel/?parid=1918561709,,www.manatee.realforeclose.com,2026-09-02T01:54:48+00:00
manatee,09/14/2026,,1942708209,2026TD000119,2024-2260,,"7414 39TH CT E, SARASOTA, FL- 34243",,,268219.21,481857.0,Redeemed,TAXDEED,https://www.manatee.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1508559&bypassPage=1,https://www.manateepao.com/parcel/?parid=1942708209,,www.manatee.realforeclose.com,2026-09-02T01:54:48+00:00
