county,sale_date,sale_time,parcel_id,case_number,certificate_number,owner_name,property_address,property_use,acreage,opening_bid,assessed_value,auction_status,auction_type,auction_url,appraiser_url,clerk_case_url,source_host,scraped_at
walton,09/03/2026,11:00 AM,15-3N-20-28070-020-0050,2026-0102TD,1118,,"DEFUNIAK SPRINGS, FL- 32433",,,2398.23,6161.0,09/03/2026 11:00 AM CT,TAXDEED,https://www.walton.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1509672&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=835&LayerID=15172&PageTypeID=4&PageID=6829&KeyValue=15-3N-20-28070-020-0050,http://orsearch.clerkofcourts.co.walton.fl.us/LandmarkWeb/Document/GetDocumentByBookPage/?booktype=OR&booknumber=0&pagenumber=0,www.walton.realforeclose.com,2026-09-02T02:00:56+00:00
walton,09/03/2026,11:00 AM,20-4N-20-29000-048-0000,2026-0107TD,1582,,"DEFUNIAK SPRINGS, FL- 32433",,,1245.53,804.0,09/03/2026 11:00 AM CT,TAXDEED,https://www.walton.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1508996&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=835&LayerID=15172&PageTypeID=4&PageID=6829&KeyValue=20-4N-20-29000-048-0000,http://orsearch.clerkofcourts.co.walton.fl.us/LandmarkWeb/Document/GetDocumentByBookPage/?booktype=OR&booknumber=0&pagenumber=0,www.walton.realforeclose.com,2026-09-02T02:00:56+00:00
walton,09/03/2026,11:00 AM,20-4N-20-29000-053-0030,2026-0108TD,1586,,"DEFUNIAK SPRINGS, FL- 32433",,,1225.11,804.0,09/03/2026 11:00 AM CT,TAXDEED,https://www.walton.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1508988&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=835&LayerID=15172&PageTypeID=4&PageID=6829&KeyValue=20-4N-20-29000-053-0030,http://orsearch.clerkofcourts.co.walton.fl.us/LandmarkWeb/Document/GetDocumentByBookPage/?booktype=OR&booknumber=0&pagenumber=0,www.walton.realforeclose.com,2026-09-02T02:00:56+00:00
walton,09/03/2026,11:00 AM,28-4N-20-29000-038-0010,2026-0109TD,2769,,"DEFUNIAK SPRINGS, FL- 32433",,,1305.32,804.0,09/03/2026 11:00 AM CT,TAXDEED,https://www.walton.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1508989&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=835&LayerID=15172&PageTypeID=4&PageID=6829&KeyValue=28-4N-20-29000-038-0010,http://orsearch.clerkofcourts.co.walton.fl.us/LandmarkWeb/Document/GetDocumentByBookPage/?booktype=OR&booknumber=0&pagenumber=0,www.walton.realforeclose.com,2026-09-02T02:00:56+00:00
walton,09/22/2026,11:00 AM,11-1S-20-32000-005-0010,2026-0110TD,610,,"WOODLAWN RD, FREEPORT, FL- 32439",,,2130.43,8991.0,09/22/2026 11:00 AM CT,TAXDEED,https://www.walton.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1513809&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=835&LayerID=15172&PageTypeID=4&PageID=6829&KeyValue=11-1S-20-32000-005-0010,http://orsearch.clerkofcourts.co.walton.fl.us/LandmarkWeb/Document/GetDocumentByBookPage/?booktype=OR&booknumber=0&pagenumber=0,www.walton.realforeclose.com,2026-09-02T02:01:00+00:00
walton,09/22/2026,11:00 AM,17-3N-20-28080-056-0020,2026-0111TD,1460,,"DEFUNIAK SPRINGS, FL- 32433",,,1726.11,3154.0,09/22/2026 11:00 AM CT,TAXDEED,https://www.walton.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1513808&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=835&LayerID=15172&PageTypeID=4&PageID=6829&KeyValue=17-3N-20-28080-056-0020,http://orsearch.clerkofcourts.co.walton.fl.us/LandmarkWeb/Document/GetDocumentByBookPage/?booktype=OR&booknumber=0&pagenumber=0,www.walton.realforeclose.com,2026-09-02T02:01:00+00:00
walton,09/22/2026,11:00 AM,17-3N-20-28080-082-0280,2026-0112TD,1485,,"E HONEYSUCKLE ST, DEFUNIAK SPRINGS, FL- 32433",,,1857.09,2758.0,09/22/2026 11:00 AM CT,TAXDEED,https://www.walton.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1513798&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=835&LayerID=15172&PageTypeID=4&PageID=6829&KeyValue=17-3N-20-28080-082-0280,http://orsearch.clerkofcourts.co.walton.fl.us/LandmarkWeb/Document/GetDocumentByBookPage/?booktype=OR&booknumber=0&pagenumber=0,www.walton.realforeclose.com,2026-09-02T02:01:00+00:00
walton,09/22/2026,11:00 AM,19-3N-19-19768-00F-0100,2026-0115TD,1697,,"DEFUNIAK SPRINGS, FL- 32433",,,2241.5,9947.0,09/22/2026 11:00 AM CT,TAXDEED,https://www.walton.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1513800&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=835&LayerID=15172&PageTypeID=4&PageID=6829&KeyValue=19-3N-19-19768-00F-0100,http://orsearch.clerkofcourts.co.walton.fl.us/LandmarkWeb/Document/GetDocumentByBookPage/?booktype=OR&booknumber=0&pagenumber=0,www.walton.realforeclose.com,2026-09-02T02:01:00+00:00
walton,09/22/2026,,25-3N-19-19070-001-8123,2026-0114TD,2644,,"DEFUNIAK SPRINGS, FL- 32433",,,1666.58,,Redeemed,TAXDEED,https://www.walton.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1513807&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=835&LayerID=15172&PageTypeID=4&PageID=6829&KeyValue=25-3N-19-19070-001-8123,http://orsearch.clerkofcourts.co.walton.fl.us/LandmarkWeb/Document/GetDocumentByBookPage/?booktype=OR&booknumber=0&pagenumber=0,www.walton.realforeclose.com,2026-09-02T02:01:00+00:00
walton,09/22/2026,11:00 AM,29-3N-18-10000-014-0010,2026-0113TD,3235,,"N CO HWY 183, DEFUNIAK SPRINGS, FL- 32433",,,1364.41,4173.0,09/22/2026 11:00 AM CT,TAXDEED,https://www.walton.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1513804&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=835&LayerID=15172&PageTypeID=4&PageID=6829&KeyValue=29-3N-18-10000-014-0010,http://orsearch.clerkofcourts.co.walton.fl.us/LandmarkWeb/Document/GetDocumentByBookPage/?booktype=OR&booknumber=0&pagenumber=0,www.walton.realforeclose.com,2026-09-02T02:01:00+00:00
walton,09/29/2026,,10-2S-20-33010-00A-0070,2026-0124TD,588,,"WHISPER LN, SANTA ROSA BEACH, FL- 32459",,,6074.81,,Redeemed,TAXDEED,https://www.walton.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1514570&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=835&LayerID=15172&PageTypeID=4&PageID=6829&KeyValue=10-2S-20-33010-00A-0070,http://orsearch.clerkofcourts.co.walton.fl.us/LandmarkWeb/Document/GetDocumentByBookPage/?booktype=OR&booknumber=0&pagenumber=0,www.walton.realforeclose.com,2026-09-02T02:01:04+00:00
