county,sale_date,sale_time,parcel_id,case_number,certificate_number,owner_name,property_address,property_use,acreage,opening_bid,assessed_value,auction_status,auction_type,auction_url,appraiser_url,clerk_case_url,source_host,scraped_at
clay,09/23/2026,09:30 AM ET,060425-007869-070-41,2026-0057TD,202300397/2024,,"625 OAKLEAF PLANTATION PKWY 71, ORANGE PARK, FL- 32065",,,70831.73,127192.0,09/23/2026 09:30 AM ET,TAXDEED,https://www.clay.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1509682&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=830&LayerID=15008&PageTypeID=4&PageID=6756&Q=172585046&KeyValue=060425-007869-070-41,,www.clay.realtaxdeed.com,2026-09-07T14:01:06+00:00
clay,09/23/2026,,070426-013073-006-08,2026-0071TD,202300503/2024,,"1895 KINGSLEY AVE, ORANGE PARK, FL- 32073",,,21146.08,387990.0,Redeemed,TAXDEED,https://www.clay.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1510000&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=830&LayerID=15008&PageTypeID=4&PageID=6756&Q=172585046&KeyValue=070426-013073-006-08,,www.clay.realtaxdeed.com,2026-09-07T14:01:06+00:00
clay,09/23/2026,,090524-005953-480-00,2026-0064TD,202300664/2024,,"212 SESAME ST, MIDDLEBURG, FL- 32068",,,56843.75,102604.0,Redeemed,TAXDEED,https://www.clay.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1510002&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=830&LayerID=15008&PageTypeID=4&PageID=6756&Q=172585046&KeyValue=090524-005953-480-00,,www.clay.realtaxdeed.com,2026-09-07T14:01:06+00:00
clay,09/23/2026,,160524-005955-213-00,2026-0059TD,202301288/2024,,"4848 FIREWEED ST, MIDDLEBURG, FL- 32068",,,36182.86,66285.0,Redeemed,TAXDEED,https://www.clay.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1509680&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=830&LayerID=15008&PageTypeID=4&PageID=6756&Q=172585046&KeyValue=160524-005955-213-00,,www.clay.realtaxdeed.com,2026-09-07T14:01:06+00:00
clay,09/23/2026,09:30 AM ET,160524-005955-687-00,2026-0065TD,202301317/2024,,"4630 ROSEMARY ST, MIDDLEBURG, FL- 32068",,,12656.95,195960.0,09/23/2026 09:30 AM ET,TAXDEED,https://www.clay.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1509994&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=830&LayerID=15008&PageTypeID=4&PageID=6756&Q=172585046&KeyValue=160524-005955-687-00,,www.clay.realtaxdeed.com,2026-09-07T14:01:06+00:00
clay,09/23/2026,09:30 AM ET,160823-001039-003-03,2026-0058TD,202301337/2024,,"7195 GAS LINE RD, KEYSTONE HEIGHTS, FL- 32656",,,1741.86,18000.0,09/23/2026 09:30 AM ET,TAXDEED,https://www.clay.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1509681&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=830&LayerID=15008&PageTypeID=4&PageID=6756&Q=172585046&KeyValue=160823-001039-003-03,,www.clay.realtaxdeed.com,2026-09-07T14:01:06+00:00
clay,09/23/2026,,270425-008033-001-00,2026-0061TD,202302204/2024,,"51 KNIGHT BOXX RD, ORANGE PARK, FL- 32065",,,13241.14,218079.0,Redeemed,TAXDEED,https://www.clay.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1509685&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=830&LayerID=15008&PageTypeID=4&PageID=6756&Q=172585046&KeyValue=270425-008033-001-00,,www.clay.realtaxdeed.com,2026-09-07T14:01:06+00:00
clay,09/23/2026,,280823-003222-000-00,2026-0055TD,202302272/2024,,"6194 COUNTY ROAD 214, KEYSTONE HEIGHTS, FL- 32656",,,1223.0,6500.0,Redeemed,TAXDEED,https://www.clay.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1509683&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=830&LayerID=15008&PageTypeID=4&PageID=6756&Q=172585046&KeyValue=280823-003222-000-00,,www.clay.realtaxdeed.com,2026-09-07T14:01:06+00:00
clay,09/23/2026,09:30 AM ET,350424-005712-000-00,2026-0062TD,202302647/2024,,"3991 OLD JENNINGS RD, MIDDLEBURG, FL- 32068",,,25873.88,456017.0,09/23/2026 09:30 AM ET,TAXDEED,https://www.clay.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1509684&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=830&LayerID=15008&PageTypeID=4&PageID=6756&Q=172585046&KeyValue=350424-005712-000-00,,www.clay.realtaxdeed.com,2026-09-07T14:01:06+00:00
clay,09/23/2026,09:30 AM ET,350524-006699-537-00,2026-0068TD,202302710/2024,,"0 BEGONIA DR, MIDDLEBURG, FL- 32068",,,3399.56,39530.0,09/23/2026 09:30 AM ET,TAXDEED,https://www.clay.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1509993&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=830&LayerID=15008&PageTypeID=4&PageID=6756&Q=172585046&KeyValue=350524-006699-537-00,,www.clay.realtaxdeed.com,2026-09-07T14:01:06+00:00
