county,sale_date,sale_time,parcel_id,case_number,certificate_number,owner_name,property_address,property_use,acreage,opening_bid,assessed_value,auction_status,auction_type,auction_url,appraiser_url,clerk_case_url,source_host,scraped_at
escambia,10/07/2026,10:00 AM,011S311001015002,2024 TD 003996,03996,,1290 EASTVIEW DR 32533,,,3610.29,30801.0,10/07/2026 10:00 AM CT,TAXDEED,https://www.escambia.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1500077&bypassPage=1,http://www.escpa.org/cama/Detail_a.aspx?s=011S311001015002,,www.escambia.realtaxdeed.com,2026-09-07T14:04:00+00:00
escambia,10/07/2026,,022S313000005005,2024 TD 004371,04371,,5801 N BLUE ANGEL PKWY 32526,,,4390.29,52816.0,Redeemed,TAXDEED,https://www.escambia.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1500260&bypassPage=1,http://www.escpa.org/cama/Detail_a.aspx?s=022S313000005005,,www.escambia.realtaxdeed.com,2026-09-07T14:04:00+00:00
escambia,10/07/2026,,061S311301002007,2024 TD 004024,04024,,NO ADDRESS - 061S311301002007,,,4076.1,40960.0,Redeemed,TAXDEED,https://www.escambia.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1500079&bypassPage=1,http://www.escpa.org/cama/Detail_a.aspx?s=061S311301002007,,www.escambia.realtaxdeed.com,2026-09-07T14:04:00+00:00
escambia,10/07/2026,,061S314103005002,2024 TD 004036,04036,,9823 MILLEE LP 32526,,,14481.81,378071.0,Redeemed,TAXDEED,https://www.escambia.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1500081&bypassPage=1,http://www.escpa.org/cama/Detail_a.aspx?s=061S314103005002,,www.escambia.realtaxdeed.com,2026-09-07T14:04:00+00:00
escambia,10/07/2026,,071S314101000001,2024 TD 004041,04041,,8571 BEULAH RD 32526,,,22958.54,38026.0,Redeemed,TAXDEED,https://www.escambia.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1500082&bypassPage=1,http://www.escpa.org/cama/Detail_a.aspx?s=071S314101000001,,www.escambia.realtaxdeed.com,2026-09-07T14:04:00+00:00
escambia,10/07/2026,,112S312400004005,2024 TD 004458,04458,,7335 SACHEM RD 32506,,,2701.87,24000.0,Redeemed,TAXDEED,https://www.escambia.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1500261&bypassPage=1,http://www.escpa.org/cama/Detail_a.aspx?s=112S312400004005,,www.escambia.realtaxdeed.com,2026-09-07T14:04:00+00:00
escambia,10/07/2026,,112S313106000001,2024 TD 004467,04467,,7702 LILLIAN HWY 32506,,,1909.18,42462.0,Redeemed,TAXDEED,https://www.escambia.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1500262&bypassPage=1,http://www.escpa.org/cama/Detail_a.aspx?s=112S313106000001,,www.escambia.realtaxdeed.com,2026-09-07T14:04:00+00:00
escambia,10/07/2026,,121S313203000008,2024 TD 004077,04077,,8650 CANDACE DR 32534,,,2808.16,25452.0,Redeemed,TAXDEED,https://www.escambia.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1500084&bypassPage=1,http://www.escpa.org/cama/Detail_a.aspx?s=121S313203000008,,www.escambia.realtaxdeed.com,2026-09-07T14:04:00+00:00
escambia,10/07/2026,,122S311107000001,2024 TD 004501,04501,,8208 LILLIAN HWY 32506,,,4339.9,48730.0,Redeemed,TAXDEED,https://www.escambia.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1500263&bypassPage=1,http://www.escpa.org/cama/Detail_a.aspx?s=122S311107000001,,www.escambia.realtaxdeed.com,2026-09-07T14:04:00+00:00
escambia,10/07/2026,10:00 AM,172S301300005037,2024 TD 002773,02773,,2605 W HERNANDEZ ST 32505,,,3348.67,20729.0,10/07/2026 10:00 AM CT,TAXDEED,https://www.escambia.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1519009&bypassPage=1,http://www.escpa.org/cama/Detail_a.aspx?s=172S301300005037,,www.escambia.realtaxdeed.com,2026-09-07T14:04:00+00:00
escambia,10/07/2026,10:00 AM,182S311101000002,2024 TD 004543,04543,,N BLUE ANGEL PKWY (OFF) 32506,,,3313.12,30354.0,10/07/2026 10:00 AM CT,TAXDEED,https://www.escambia.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1500264&bypassPage=1,http://www.escpa.org/cama/Detail_a.aspx?s=182S311101000002,,www.escambia.realtaxdeed.com,2026-09-07T14:04:00+00:00
escambia,10/07/2026,,192S314209000001,2024 TD 004594,04594,,215 CROW RD 32506,,,18852.1,32883.0,Redeemed,TAXDEED,https://www.escambia.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1500265&bypassPage=1,http://www.escpa.org/cama/Detail_a.aspx?s=192S314209000001,,www.escambia.realtaxdeed.com,2026-09-07T14:04:00+00:00
escambia,10/07/2026,10:00 AM,212S316200001001,2024 TD 004678,04678,,7600 BLK OLD HICKORY DR 32507,,,3122.71,30000.0,10/07/2026 10:00 AM CT,TAXDEED,https://www.escambia.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1500266&bypassPage=1,http://www.escpa.org/cama/Detail_a.aspx?s=212S316200001001,,www.escambia.realtaxdeed.com,2026-09-07T14:04:00+00:00
escambia,10/07/2026,10:00 AM,292S311101002001,2024 TD 004756,04756,,1706 DOG TRACK RD 32506,,,3642.98,37400.0,10/07/2026 10:00 AM CT,TAXDEED,https://www.escambia.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1500267&bypassPage=1,http://www.escpa.org/cama/Detail_a.aspx?s=292S311101002001,,www.escambia.realtaxdeed.com,2026-09-07T14:04:00+00:00
escambia,10/07/2026,,292S312103000021,2024 TD 004762,04762,,10403 CEDAR CREEK DR 32506,,,2983.45,35198.0,Redeemed,TAXDEED,https://www.escambia.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1500268&bypassPage=1,http://www.escpa.org/cama/Detail_a.aspx?s=292S312103000021,,www.escambia.realtaxdeed.com,2026-09-07T14:04:00+00:00
escambia,10/07/2026,,292S312103000033,2024 TD 004765,04765,,10412 CEDAR CREEK DR 32506,,,2952.45,35585.0,Redeemed,TAXDEED,https://www.escambia.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1500269&bypassPage=1,http://www.escpa.org/cama/Detail_a.aspx?s=292S312103000033,,www.escambia.realtaxdeed.com,2026-09-07T14:04:00+00:00
escambia,10/07/2026,10:00 AM,292S312400000000,2024 TD 004770,04770,,1670 ORA DR 32506,,,5272.0,73660.0,10/07/2026 10:00 AM CT,TAXDEED,https://www.escambia.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1500270&bypassPage=1,http://www.escpa.org/cama/Detail_a.aspx?s=292S312400000000,,www.escambia.realtaxdeed.com,2026-09-07T14:04:00+00:00
escambia,10/07/2026,10:00 AM,332S301300010007,2024 TD 003071,03071,,3803 W LEE ST 32505,,,5603.07,59409.0,10/07/2026 10:00 AM CT,TAXDEED,https://www.escambia.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1519010&bypassPage=1,http://www.escpa.org/cama/Detail_a.aspx?s=332S301300010007,,www.escambia.realtaxdeed.com,2026-09-07T14:04:00+00:00
escambia,10/07/2026,10:00 AM,332S311000002026,2024 TD 004775,04775,,513 WAYCROSS AVE 32507,,,15583.54,168393.0,10/07/2026 10:00 AM CT,TAXDEED,https://www.escambia.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1500271&bypassPage=1,http://www.escpa.org/cama/Detail_a.aspx?s=332S311000002026,,www.escambia.realtaxdeed.com,2026-09-07T14:04:00+00:00
