county,sale_date,sale_time,parcel_id,case_number,certificate_number,owner_name,property_address,property_use,acreage,opening_bid,assessed_value,auction_status,auction_type,auction_url,appraiser_url,clerk_case_url,source_host,scraped_at
highlands,09/16/2026,10:00 AM ET,C-04-34-28-110-1900-0240,24000618,2017-2761,,"7348 HAPPYFACE ST, SEBRING, FL- 33872",,,3559.91,2928.0,09/16/2026 10:00 AM ET,TAXDEED,https://www.highlands.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1518639&bypassPage=1,,,www.highlands.realtaxdeed.com,2026-09-07T14:07:47+00:00
highlands,09/16/2026,,C-04-34-28-110-2050-0330,25000669,2019-3001,,"7812 ALTARA ST, SEBRING, FL- 33872",,,2375.78,2928.0,Redeemed,TAXDEED,https://www.highlands.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1514053&bypassPage=1,,,www.highlands.realtaxdeed.com,2026-09-07T14:07:47+00:00
highlands,09/16/2026,,C-22-37-30-020-0460-0180,25000866,2019-10399,,"366 STARDUST AVE, LAKE PLACID, FL- 33852",,,2116.04,,Auction to be rescheduled,TAXDEED,https://www.highlands.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1515376&bypassPage=1,,,www.highlands.realtaxdeed.com,2026-09-07T14:07:47+00:00
highlands,09/16/2026,10:00 AM ET,C-22-37-30-020-0650-0080,25000841,2019-10411,,"375 CONCERT DR, LAKE PLACID, FL- 33852",,,2183.72,2197.0,09/16/2026 10:00 AM ET,TAXDEED,https://www.highlands.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1515351&bypassPage=1,,,www.highlands.realtaxdeed.com,2026-09-07T14:07:47+00:00
highlands,09/16/2026,10:00 AM ET,C-22-37-30-040-0260-0050,25000835,2019-10492,,"269 DREAMERS DR, LAKE PLACID, FL- 33852",,,2204.12,1000.0,09/16/2026 10:00 AM ET,TAXDEED,https://www.highlands.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1515345&bypassPage=1,,,www.highlands.realtaxdeed.com,2026-09-07T14:07:47+00:00
highlands,09/16/2026,10:00 AM ET,C-22-37-30-050-0320-0100,25000837,2019-10520,,"305 BLUE HEAVEN DR, LAKE PLACID, FL- 33852",,,2279.69,1000.0,09/16/2026 10:00 AM ET,TAXDEED,https://www.highlands.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1515347&bypassPage=1,,,www.highlands.realtaxdeed.com,2026-09-07T14:07:47+00:00
highlands,09/16/2026,10:00 AM ET,C-22-37-30-050-0470-0040,25000867,2019-10536,,"365 STARDUST AVE, LAKE PLACID, FL- 33852",,,2042.35,1464.0,09/16/2026 10:00 AM ET,TAXDEED,https://www.highlands.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1515377&bypassPage=1,,,www.highlands.realtaxdeed.com,2026-09-07T14:07:47+00:00
highlands,09/16/2026,,C-22-37-30-050-0500-0040,25000825,2019-10551,,"365 WHISPERING AVE, LAKE PLACID, FL- 33852",,,2089.76,1464.0,Auction to be rescheduled,TAXDEED,https://www.highlands.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1515336&bypassPage=1,,,www.highlands.realtaxdeed.com,2026-09-07T14:07:47+00:00
highlands,09/16/2026,,C-22-37-30-050-0500-0080,25000868,2019-10552,,"357 WHISPERING AVE, LAKE PLACID, FL- 33852",,,2145.13,1464.0,Auction to be rescheduled,TAXDEED,https://www.highlands.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1515378&bypassPage=1,,,www.highlands.realtaxdeed.com,2026-09-07T14:07:47+00:00
highlands,09/16/2026,10:00 AM ET,C-22-37-30-050-0550-0210,25000826,2019-10582,,"272 SUN FLOWER DR, LAKE PLACID, FL- 33852",,,2011.75,1464.0,09/16/2026 10:00 AM ET,TAXDEED,https://www.highlands.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1515337&bypassPage=1,,,www.highlands.realtaxdeed.com,2026-09-07T14:07:47+00:00
highlands,09/16/2026,,C-22-37-30-050-0680-0140,25000843,2019-10586,,"384 STARDUST AVE, LAKE PLACID, FL- 33852",,,2243.87,2197.0,Auction to be rescheduled,TAXDEED,https://www.highlands.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1515353&bypassPage=1,,,www.highlands.realtaxdeed.com,2026-09-07T14:07:47+00:00
highlands,09/16/2026,10:00 AM ET,C-22-37-30-060-0230-0210,25000838,2019-10608,,"236 BLUE HEAVEN DR, LAKE PLACID, FL- 33852",,,2224.25,1000.0,09/16/2026 10:00 AM ET,TAXDEED,https://www.highlands.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1515348&bypassPage=1,,,www.highlands.realtaxdeed.com,2026-09-07T14:07:47+00:00
highlands,09/16/2026,,C-22-37-30-060-0550-0060,25000827,2019-10643,,"257 SENTIMENTAL DR, LAKE PLACID, FL- 33852",,,2055.89,1464.0,Auction to be rescheduled,TAXDEED,https://www.highlands.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1515338&bypassPage=1,,,www.highlands.realtaxdeed.com,2026-09-07T14:07:47+00:00
highlands,09/16/2026,,C-22-37-30-060-0620-0070,25000829,2019-10667,,"209 SUN FLOWER DR, LAKE PLACID, FL- 33852",,,2103.87,1210.0,Auction to be rescheduled,TAXDEED,https://www.highlands.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1515340&bypassPage=1,,,www.highlands.realtaxdeed.com,2026-09-07T14:07:47+00:00
highlands,09/16/2026,10:00 AM ET,C-22-37-30-070-0680-0220,25000844,2019-10701,,"408 HORNET CT, LAKE PLACID, FL- 33852",,,2204.02,2197.0,09/16/2026 10:00 AM ET,TAXDEED,https://www.highlands.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1515354&bypassPage=1,,,www.highlands.realtaxdeed.com,2026-09-07T14:07:47+00:00
highlands,09/16/2026,10:00 AM ET,C-22-37-30-070-0890-0140,25000845,2019-10724,,"326 CINEMA DR, LAKE PLACID, FL- 33852",,,2194.78,2197.0,09/16/2026 10:00 AM ET,TAXDEED,https://www.highlands.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1515355&bypassPage=1,,,www.highlands.realtaxdeed.com,2026-09-07T14:07:47+00:00
