county,sale_date,sale_time,parcel_id,case_number,certificate_number,owner_name,property_address,property_use,acreage,opening_bid,assessed_value,auction_status,auction_type,auction_url,appraiser_url,clerk_case_url,source_host,scraped_at
suwannee,10/08/2026,11:00 AM ET,00478000000,4729,2024-61,,"1121 6th Ave, Wellborn, FL 320",,,3387.52,,10/08/2026 11:00 AM ET,TAXDEED,https://www.suwannee.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1519311&bypassPage=1,https://www.suwanneepa.com/gis/,,www.suwannee.realtaxdeed.com,2026-09-07T14:31:07+00:00
suwannee,10/08/2026,11:00 AM ET,00813020060,4732,2024-152,,"16225 31st Dr, Wellborn, FL 32",,,6063.44,,10/08/2026 11:00 AM ET,TAXDEED,https://www.suwannee.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1519312&bypassPage=1,https://www.suwanneepa.com/gis/,,www.suwannee.realtaxdeed.com,2026-09-07T14:31:07+00:00
suwannee,10/08/2026,11:00 AM ET,00924040130,4734,2024-204,,"3382 204th Terr, Wellborn, FL",,,43184.51,,10/08/2026 11:00 AM ET,TAXDEED,https://www.suwannee.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1519313&bypassPage=1,https://www.suwanneepa.com/gis/,,www.suwannee.realtaxdeed.com,2026-09-07T14:31:07+00:00
suwannee,10/08/2026,11:00 AM ET,01014012000,4735,2024-244,,"21841 CR 137, Lake City FL 320",,,8399.01,,10/08/2026 11:00 AM ET,TAXDEED,https://www.suwannee.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1519314&bypassPage=1,https://www.suwanneepa.com/gis/,,www.suwannee.realtaxdeed.com,2026-09-07T14:31:07+00:00
suwannee,10/08/2026,11:00 AM ET,01105031300,4781,2024-258,,"22435 47th Dr, Lake City FL 32",,,2948.88,,10/08/2026 11:00 AM ET,TAXDEED,https://www.suwannee.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1519326&bypassPage=1,https://www.suwanneepa.com/gis/,,www.suwannee.realtaxdeed.com,2026-09-07T14:31:07+00:00
suwannee,10/08/2026,11:00 AM ET,01133031770,4736,2024-264,,"22411 43rd Dr, Lake City, FL 3",,,59432.46,,10/08/2026 11:00 AM ET,TAXDEED,https://www.suwannee.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1519315&bypassPage=1,https://www.suwanneepa.com/gis/,,www.suwannee.realtaxdeed.com,2026-09-07T14:31:07+00:00
suwannee,10/08/2026,11:00 AM ET,01142031990,4739,2024-268,,"22840 43rd Dr, Lake City, FL 3",,,6700.32,,10/08/2026 11:00 AM ET,TAXDEED,https://www.suwannee.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1519316&bypassPage=1,https://www.suwanneepa.com/gis/,,www.suwannee.realtaxdeed.com,2026-09-07T14:31:07+00:00
suwannee,10/08/2026,11:00 AM ET,01783000000,4747,2024-441,,"10132 34th St, Live Oak, FL 32",,,2777.22,,10/08/2026 11:00 AM ET,TAXDEED,https://www.suwannee.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1519317&bypassPage=1,https://www.suwanneepa.com/gis/,,www.suwannee.realtaxdeed.com,2026-09-07T14:31:07+00:00
suwannee,10/08/2026,11:00 AM ET,02202000000,4751,2024-516,,"9735 CR 136, Live Oak FL 32060",,,3434.69,,10/08/2026 11:00 AM ET,TAXDEED,https://www.suwannee.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1519318&bypassPage=1,https://www.suwanneepa.com/gis/,,www.suwannee.realtaxdeed.com,2026-09-07T14:31:07+00:00
suwannee,10/08/2026,11:00 AM ET,02865010000,4765,2024-657,,"9966 146th St, Live Oak FL 320",,,15502.42,,10/08/2026 11:00 AM ET,TAXDEED,https://www.suwannee.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1519319&bypassPage=1,https://www.suwanneepa.com/gis/,,www.suwannee.realtaxdeed.com,2026-09-07T14:31:07+00:00
