county,sale_date,sale_time,parcel_id,case_number,certificate_number,owner_name,property_address,property_use,acreage,opening_bid,assessed_value,auction_status,auction_type,auction_url,appraiser_url,clerk_case_url,source_host,scraped_at
okaloosa,10/13/2026,02:00 PM CT,002S2412950000515A,,,,"500 GULF SHORE DR 515A, DESTIN, FL 32541",,,14719.0,,Preview,TAXDEED,https://www.bid4assets.com/auction/1312406,,,www.bid4assets.com,2026-09-14T15:21:55+00:00
okaloosa,10/13/2026,02:00 PM CT,002S2412950000515B,,,,"500 GULF SHORE DR 515B, DESTIN, FL 32541",,,20508.0,,Preview,TAXDEED,https://www.bid4assets.com/auction/1312405,,,www.bid4assets.com,2026-09-14T15:21:55+00:00
okaloosa,10/13/2026,02:00 PM CT,022S24023000020050,,,,"46 CIRCLE DR, FT WALTON BEACH, FL 32547",,,135605.0,,Preview,TAXDEED,https://www.bid4assets.com/auction/1312400,,,www.bid4assets.com,2026-09-14T15:21:55+00:00
okaloosa,10/13/2026,02:00 PM CT,022S240920000C0010,,,,"682 NAVY ST, FT WALTON BEACH, FL 32547",,,4251.0,,Preview,TAXDEED,https://www.bid4assets.com/auction/1312411,,,www.bid4assets.com,2026-09-14T15:21:55+00:00
okaloosa,10/13/2026,02:00 PM CT,022S240920000C0020,,,,"680 NAVY ST, FT WALTON BEACH, FL 32547",,,6905.0,,Postponed,TAXDEED,https://www.bid4assets.com/auction/1312409,,,www.bid4assets.com,2026-09-14T15:21:55+00:00
okaloosa,10/13/2026,02:00 PM CT,051S22256F00780160,,,,"1903 QUINCE AVE, NICEVILLE, FL 32578",,,16066.0,,Preview,TAXDEED,https://www.bid4assets.com/auction/1312410,,,www.bid4assets.com,2026-09-14T15:21:55+00:00
okaloosa,10/13/2026,02:00 PM CT,063N231788000A0030,,,,"106 TRANQUILITY DR, CRESTVIEW, FL 32536",,,216642.0,,Preview,TAXDEED,https://www.bid4assets.com/auction/1312401,,,www.bid4assets.com,2026-09-14T15:21:55+00:00
okaloosa,10/13/2026,02:00 PM CT,073N23176000060150,,,,"128 W 1ST AVE, CRESTVIEW, FL 32536",,,10131.0,,Postponed,TAXDEED,https://www.bid4assets.com/auction/1312402,,,www.bid4assets.com,2026-09-14T15:21:55+00:00
okaloosa,10/13/2026,02:00 PM CT,081S22000000640010,,,,"424 BULLOCK BLVD, NICEVILLE, FL 32578",,,102611.0,,Preview,TAXDEED,https://www.bid4assets.com/auction/1312412,,,www.bid4assets.com,2026-09-14T15:21:55+00:00
okaloosa,10/13/2026,02:00 PM CT,102S24258E00090140,,,,"338 LAKE DR, FT WALTON BEACH, FL 32548",,,12425.0,,Preview,TAXDEED,https://www.bid4assets.com/auction/1312403,,,www.bid4assets.com,2026-09-14T15:21:55+00:00
okaloosa,10/13/2026,02:00 PM CT,132S24000000320000,,,,"53 BEAL PKWY, FT WALTON BEACH, FL 32548",,,14325.0,,Preview,TAXDEED,https://www.bid4assets.com/auction/1312404,,,www.bid4assets.com,2026-09-14T15:21:55+00:00
okaloosa,10/13/2026,02:00 PM CT,203N24100000000100,,,,"1835 WATERWAY DR, BAKER, FL 32531",,,10129.0,,Preview,TAXDEED,https://www.bid4assets.com/auction/1312413,,,www.bid4assets.com,2026-09-14T15:21:55+00:00
okaloosa,10/13/2026,02:00 PM CT,301S23000000020040,,,,"21NORTH DR, SHALIMAR, FL 32579",,,17747.0,,Preview,TAXDEED,https://www.bid4assets.com/auction/1312414,,,www.bid4assets.com,2026-09-14T15:21:55+00:00
okaloosa,10/13/2026,02:00 PM CT,311S23012000100230,,,,"21 WALNUT AVE, SHALIMAR, FL 32579",,,14393.0,,Postponed,TAXDEED,https://www.bid4assets.com/auction/1312407,,,www.bid4assets.com,2026-09-14T15:21:55+00:00
okaloosa,10/13/2026,02:00 PM CT,314N23000000070000,,,,"5867 OAK HILL RD, CRESTVIEW, FL 32536",,,7630.0,,Postponed,TAXDEED,https://www.bid4assets.com/auction/1312399,,,www.bid4assets.com,2026-09-14T15:21:55+00:00
okaloosa,10/13/2026,02:00 PM CT,351S240960000A0220,,,,"44 LINWOOD RD, FT WALTON BEACH, FL 32547",,,180572.0,,Preview,TAXDEED,https://www.bid4assets.com/auction/1312415,,,www.bid4assets.com,2026-09-14T15:21:55+00:00
okaloosa,10/13/2026,02:00 PM CT,361S241392000G0010,,,,"21 WINDSOR LN, FT WALTON BEACH, FL 32547",,,119531.0,,Preview,TAXDEED,https://www.bid4assets.com/auction/1312408,,,www.bid4assets.com,2026-09-14T15:21:55+00:00
