county,sale_date,sale_time,parcel_id,case_number,certificate_number,owner_name,property_address,property_use,acreage,opening_bid,assessed_value,auction_status,auction_type,auction_url,appraiser_url,clerk_case_url,source_host,scraped_at
okeechobee,09/24/2026,,1-02-36-35-0010-00020-0020,2026TD081,1216-2026,,,,,121880.06,228710.0,Redeemed,TAXDEED,https://www.okeechobee.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1507325&bypassPage=1,http://www.okeechobeepa.com/gis/?pin=1-02-36-35-0010-00020-0020,,www.okeechobee.realforeclose.com,2026-09-14T15:08:29+00:00
okeechobee,09/24/2026,,1-05-37-35-0020-00130-0060,2026TD080,1351-2024,,"3783 NW 21ST AVE, OKEECHOBEE, FL- 34972",,,10247.57,145913.0,Redeemed,TAXDEED,https://www.okeechobee.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1507324&bypassPage=1,http://www.okeechobeepa.com/gis/?pin=1-05-37-35-0020-00130-0060,,www.okeechobee.realforeclose.com,2026-09-14T15:08:29+00:00
okeechobee,09/24/2026,,1-29-37-35-0050-00090-E000,2026TD079,1862-2024,,"2355 SW 28TH ST 90E, OKEECHOBEE, FL- 34974",,,6897.67,75361.0,Redeemed,TAXDEED,https://www.okeechobee.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1507323&bypassPage=1,http://www.okeechobeepa.com/gis/?pin=1-29-37-35-0050-00090-E000,,www.okeechobee.realforeclose.com,2026-09-14T15:08:29+00:00
okeechobee,10/08/2026,10:00 AM ET,1-03-38-35-0A00-00001-A000,2026TD091,2484-2020,,,,,2721.48,,10/08/2026 10:00 AM ET,TAXDEED,https://www.okeechobee.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1513670&bypassPage=1,http://www.okeechobeepa.com/gis/?pin=1-03-38-35-0A00-00001-A000,,www.okeechobee.realforeclose.com,2026-09-14T15:08:38+00:00
okeechobee,10/08/2026,10:00 AM ET,1-04-38-36-0030-00030-0160,2026TD092,2702-2020,,,,,2554.75,,10/08/2026 10:00 AM ET,TAXDEED,https://www.okeechobee.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1513669&bypassPage=1,http://www.okeechobeepa.com/gis/?pin=1-04-38-36-0030-00030-0160,,www.okeechobee.realforeclose.com,2026-09-14T15:08:38+00:00
okeechobee,10/08/2026,10:00 AM ET,1-05-37-35-0020-00300-0030,2026TD083,1419-2022,,,,,2068.27,,10/08/2026 10:00 AM ET,TAXDEED,https://www.okeechobee.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1513678&bypassPage=1,http://www.okeechobeepa.com/gis/?pin=1-05-37-35-0020-00300-0030,,www.okeechobee.realforeclose.com,2026-09-14T15:08:38+00:00
okeechobee,10/08/2026,10:00 AM ET,1-06-36-34-0010-00060-0010,2026TD086,1467-2020,,,,,2540.04,,10/08/2026 10:00 AM ET,TAXDEED,https://www.okeechobee.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1513675&bypassPage=1,http://www.okeechobeepa.com/gis/?pin=1-06-36-34-0010-00060-0010,,www.okeechobee.realforeclose.com,2026-09-14T15:08:38+00:00
okeechobee,10/08/2026,10:00 AM ET,1-06-36-34-0010-00360-0140,2026TD087,1472-2020,,,,,2771.74,,10/08/2026 10:00 AM ET,TAXDEED,https://www.okeechobee.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1513674&bypassPage=1,http://www.okeechobeepa.com/gis/?pin=1-06-36-34-0010-00360-0140,,www.okeechobee.realforeclose.com,2026-09-14T15:08:38+00:00
okeechobee,10/08/2026,10:00 AM ET,1-06-38-36-0A00-00007-0000,2026TD093,2737-2020,,,,,2781.42,,10/08/2026 10:00 AM ET,TAXDEED,https://www.okeechobee.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1513668&bypassPage=1,http://www.okeechobeepa.com/gis/?pin=1-06-38-36-0A00-00007-0000,,www.okeechobee.realforeclose.com,2026-09-14T15:08:38+00:00
okeechobee,10/08/2026,10:00 AM ET,1-09-38-36-0050-00010-0040,2026TD094,2748-2020,,,,,2715.75,,10/08/2026 10:00 AM ET,TAXDEED,https://www.okeechobee.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1513667&bypassPage=1,http://www.okeechobeepa.com/gis/?pin=1-09-38-36-0050-00010-0040,,www.okeechobee.realforeclose.com,2026-09-14T15:08:38+00:00
okeechobee,10/08/2026,10:00 AM ET,1-17-34-33-0A00-00006-J000,2026TD082,495-2020,,,,,2747.95,,10/08/2026 10:00 AM ET,TAXDEED,https://www.okeechobee.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1513679&bypassPage=1,http://www.okeechobeepa.com/gis/?pin=1-17-34-33-0A00-00006-J000,,www.okeechobee.realforeclose.com,2026-09-14T15:08:38+00:00
okeechobee,10/08/2026,10:00 AM ET,1-17-37-35-0020-00040-0020,2026TD097,1637-2024,,,,,5605.65,,10/08/2026 10:00 AM ET,TAXDEED,https://www.okeechobee.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1515496&bypassPage=1,http://www.okeechobeepa.com/gis/?pin=1-17-37-35-0020-00040-0020,,www.okeechobee.realforeclose.com,2026-09-14T15:08:38+00:00
okeechobee,10/08/2026,,1-18-34-36-0A00-00004-0000,2026TD088,2025-2022,,,,,1938.88,,Redeemed,TAXDEED,https://www.okeechobee.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1513673&bypassPage=1,http://www.okeechobeepa.com/gis/?pin=1-18-34-36-0A00-00004-0000,,www.okeechobee.realforeclose.com,2026-09-14T15:08:38+00:00
okeechobee,10/08/2026,,1-18-34-36-0A00-00005-0000,2026TD090,2205-2023,,,,,2055.76,,Redeemed,TAXDEED,https://www.okeechobee.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1513671&bypassPage=1,http://www.okeechobeepa.com/gis/?pin=1-18-34-36-0A00-00005-0000,,www.okeechobee.realforeclose.com,2026-09-14T15:08:38+00:00
okeechobee,10/08/2026,10:00 AM ET,1-18-37-35-0020-00290-0110,2026TD085,1710-2022,,,,,1862.0,,10/08/2026 10:00 AM ET,TAXDEED,https://www.okeechobee.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1513676&bypassPage=1,http://www.okeechobeepa.com/gis/?pin=1-18-37-35-0020-00290-0110,,www.okeechobee.realforeclose.com,2026-09-14T15:08:38+00:00
okeechobee,10/08/2026,10:00 AM ET,1-22-33-35-0010-00920-0060,2026TD084,1587-2020,,,,,2458.26,,10/08/2026 10:00 AM ET,TAXDEED,https://www.okeechobee.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1513677&bypassPage=1,http://www.okeechobeepa.com/gis/?pin=1-22-33-35-0010-00920-0060,,www.okeechobee.realforeclose.com,2026-09-14T15:08:38+00:00
okeechobee,10/08/2026,,1-23-38-36-0A00-00027-0000,2026TD095,2768-2020,,,,,3226.77,,Redeemed,TAXDEED,https://www.okeechobee.realforeclose.com/index.cfm?zaction=auction&zmethod=details&AID=1513666&bypassPage=1,http://www.okeechobeepa.com/gis/?pin=1-23-38-36-0A00-00027-0000,,www.okeechobee.realforeclose.com,2026-09-14T15:08:38+00:00
