county,sale_date,sale_time,parcel_id,case_number,certificate_number,owner_name,property_address,property_use,acreage,opening_bid,assessed_value,auction_status,auction_type,auction_url,appraiser_url,clerk_case_url,source_host,scraped_at
pinellas,10/21/2026,11:00 AM ET,01-29-15-98750-013-1350,2024-01238,2024-01238,,"2074 SUNSET POINT RD # 135, CLEARWATER, FL- 33765",,,11138.14,130742.0,10/21/2026 11:00 AM ET,TAXDEED,https://www.pinellas.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1519412&bypassPage=1,https://www.pcpao.gov/property-details?s=01-29-15-98750-013-1350,http://www.pinellasclerk.org/,www.pinellas.realtaxdeed.com,2026-09-14T15:12:43+00:00
pinellas,10/21/2026,11:00 AM ET,02-30-15-89046-002-0050,2024-02648,2024-02648,,"2307 CHERYL RD, LARGO, FL- 33785-2803",,,5682.13,78656.0,10/21/2026 11:00 AM ET,TAXDEED,https://www.pinellas.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1519416&bypassPage=1,https://www.pcpao.gov/property-details?s=02-30-15-89046-002-0050,http://www.pinellasclerk.org/,www.pinellas.realtaxdeed.com,2026-09-14T15:12:43+00:00
pinellas,10/21/2026,11:00 AM ET,03-30-15-65684-003-0740,2024-02678,2024-02678,,"74 THATCH PALM ST W, LARGO, FL- 33770",,,52743.57,96806.0,10/21/2026 11:00 AM ET,TAXDEED,https://www.pinellas.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1519417&bypassPage=1,https://www.pcpao.gov/property-details?s=03-30-15-65684-003-0740,http://www.pinellasclerk.org/,www.pinellas.realtaxdeed.com,2026-09-14T15:12:43+00:00
pinellas,10/21/2026,11:00 AM ET,04-30-15-55422-000-0530,2024-02727,2024-02727,,"2185 NOLAN DR, LARGO, FL- 33770",,,19098.65,425641.0,10/21/2026 11:00 AM ET,TAXDEED,https://www.pinellas.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1519418&bypassPage=1,https://www.pcpao.gov/property-details?s=04-30-15-55422-000-0530,http://www.pinellasclerk.org/,www.pinellas.realtaxdeed.com,2026-09-14T15:12:43+00:00
pinellas,10/21/2026,11:00 AM ET,11-28-15-29898-006-0024,2024-00779,2024-00779,,"290 BANANA RD, PALM HARBOR, FL- 34683",,,14280.47,201725.0,10/21/2026 11:00 AM ET,TAXDEED,https://www.pinellas.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1519410&bypassPage=1,https://www.pcpao.gov/property-details?s=11-28-15-29898-006-0024,http://www.pinellasclerk.org/,www.pinellas.realtaxdeed.com,2026-09-14T15:12:43+00:00
pinellas,10/21/2026,11:00 AM ET,12-27-15-89982-062-0208,2024-00299,2024-00299,,"PARK SQ, TARPON SPRINGS, FL- 34689",,,4690.51,11510.0,10/21/2026 11:00 AM ET,TAXDEED,https://www.pinellas.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1519408&bypassPage=1,https://www.pcpao.gov/property-details?s=12-27-15-89982-062-0208,http://www.pinellasclerk.org/,www.pinellas.realtaxdeed.com,2026-09-14T15:12:43+00:00
pinellas,10/21/2026,11:00 AM ET,13-28-15-91669-000-0220,2024-00826,2024-00826,,"1660 CINNAMON LN, DUNEDIN, FL- 34698-2304",,,111758.5,202601.0,10/21/2026 11:00 AM ET,TAXDEED,https://www.pinellas.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1519411&bypassPage=1,https://www.pcpao.gov/property-details?s=13-28-15-91669-000-0220,http://www.pinellasclerk.org/,www.pinellas.realtaxdeed.com,2026-09-14T15:12:43+00:00
pinellas,10/21/2026,11:00 AM ET,15-29-15-54018-003-0120,2024-01837,2024-01837,,"1256 MAGNOLIA DR, CLEARWATER, FL- 33756",,,18727.09,246204.0,10/21/2026 11:00 AM ET,TAXDEED,https://www.pinellas.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1519413&bypassPage=1,https://www.pcpao.gov/property-details?s=15-29-15-54018-003-0120,http://www.pinellasclerk.org/,www.pinellas.realtaxdeed.com,2026-09-14T15:12:43+00:00
pinellas,10/21/2026,11:00 AM ET,17-30-17-71804-000-1520,2023-09466,2023-09466,,"10624 WALNUT ST NE # 152, ST PETERSBURG, FL- 33716",,,2443.13,51912.0,10/21/2026 11:00 AM ET,TAXDEED,https://www.pinellas.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1519407&bypassPage=1,https://www.pcpao.gov/property-details?s=17-30-17-71804-000-1520,http://www.pinellasclerk.org/,www.pinellas.realtaxdeed.com,2026-09-14T15:12:43+00:00
pinellas,10/21/2026,11:00 AM ET,19-28-16-11872-000-0072,2024-04739,2024-04739,,"2547 WEST BROOK LN, CLEARWATER, FL- 33761",,,20141.48,309830.0,10/21/2026 11:00 AM ET,TAXDEED,https://www.pinellas.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1519419&bypassPage=1,https://www.pcpao.gov/property-details?s=19-28-16-11872-000-0072,http://www.pinellasclerk.org/,www.pinellas.realtaxdeed.com,2026-09-14T15:12:43+00:00
