county,sale_date,sale_time,parcel_id,case_number,certificate_number,owner_name,property_address,property_use,acreage,opening_bid,assessed_value,auction_status,auction_type,auction_url,appraiser_url,clerk_case_url,source_host,scraped_at
santarosa,10/05/2026,,02-1N-29-0000-01216-0000,2026140,2402232,,"5115 OAKLEAF DR, PACE, FL- 32571",,,5602.58,,Redeemed,TAXDEED,https://www.santarosa.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1517119&bypassPage=1,http://srcpa.gov/Parcel/Index2?parcel=02-1N-29-0000-01216-0000,,www.santarosa.realtaxdeed.com,2026-09-14T15:14:46+00:00
santarosa,10/05/2026,,08-1N-29-0000-05301-0000,2026143,2402318,,"4739 CAM LN, PACE, FL- 32571",,,5407.97,,Redeemed,TAXDEED,https://www.santarosa.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1517121&bypassPage=1,http://srcpa.gov/Parcel/Index2?parcel=08-1N-29-0000-05301-0000,,www.santarosa.realtaxdeed.com,2026-09-14T15:14:46+00:00
santarosa,10/05/2026,12:00 PM,18-2N-27-2050-00000-0251,2026134,2400425,,"6964 EAST GATE RD, MILTON, FL- 32570",,,37146.7,66562.0,10/05/2026 12:00 PM CT,TAXDEED,https://www.santarosa.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1517117&bypassPage=1,http://srcpa.gov/Parcel/Index2?parcel=18-2N-27-2050-00000-0251,,www.santarosa.realtaxdeed.com,2026-09-14T15:14:46+00:00
santarosa,10/05/2026,,23-2N-30-0077-00J00-0540,2026149,2403108,,"2569 GEMSTONE CIR, PACE, FL- 32571",,,20222.25,,Redeemed,TAXDEED,https://www.santarosa.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1517122&bypassPage=1,http://srcpa.gov/Parcel/Index2?parcel=23-2N-30-0077-00J00-0540,,www.santarosa.realtaxdeed.com,2026-09-14T15:14:46+00:00
santarosa,10/05/2026,,31-2N-28-1690-00200-0150,2026141,2401898,,"5520 JONES ST, MILTON, FL- 32570",,,6101.5,100634.0,Redeemed,TAXDEED,https://www.santarosa.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1517120&bypassPage=1,http://srcpa.gov/Parcel/Index2?parcel=31-2N-28-1690-00200-0150,,www.santarosa.realtaxdeed.com,2026-09-14T15:14:46+00:00
santarosa,10/05/2026,12:00 PM,33-2N-28-0630-00G00-0010,2026138,2401934,,"6464 ROBIN AVE, MILTON, FL- 32570",,,6773.65,102385.0,10/05/2026 12:00 PM CT,TAXDEED,https://www.santarosa.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1517118&bypassPage=1,http://srcpa.gov/Parcel/Index2?parcel=33-2N-28-0630-00G00-0010,,www.santarosa.realtaxdeed.com,2026-09-14T15:14:46+00:00
santarosa,10/05/2026,12:00 PM,41-5N-29-0000-04100-0000,2026033,2403004,,"NO ADDRESS ON TAX ROLL, JAY, FL- 32565",,,2366.33,8199.0,10/05/2026 12:00 PM CT,TAXDEED,https://www.santarosa.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1517116&bypassPage=1,http://srcpa.gov/Parcel/Index2?parcel=41-5N-29-0000-04100-0000,,www.santarosa.realtaxdeed.com,2026-09-14T15:14:46+00:00
santarosa,10/26/2026,12:00 PM,01-1S-28-5432-00D00-0070,2026184,2403895,,"NO ADDRESS ON TAX ROLL, MILTON, FL- 32583",,,2104.43,,10/26/2026 12:00 PM CT,TAXDEED,https://www.santarosa.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1520108&bypassPage=1,http://srcpa.gov/Parcel/Index2?parcel=01-1S-28-5432-00D00-0070,,www.santarosa.realtaxdeed.com,2026-09-14T15:14:49+00:00
santarosa,10/26/2026,12:00 PM,03-1N-28-0000-03500-0000,2026165,2400628,,"5177 STEWART ST, MILTON, FL- 32570",,,10118.9,,10/26/2026 12:00 PM CT,TAXDEED,https://www.santarosa.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1520104&bypassPage=1,http://srcpa.gov/Parcel/Index2?parcel=03-1N-28-0000-03500-0000,,www.santarosa.realtaxdeed.com,2026-09-14T15:14:49+00:00
santarosa,10/26/2026,12:00 PM,18-2S-26-1920-19800-0120,2026189,2403408,,"NO ADDRESS ON TAX ROLL, NAVARRE, FL- 32566",,,3963.44,,10/26/2026 12:00 PM CT,TAXDEED,https://www.santarosa.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1520109&bypassPage=1,http://srcpa.gov/Parcel/Index2?parcel=18-2S-26-1920-19800-0120,,www.santarosa.realtaxdeed.com,2026-09-14T15:14:49+00:00
santarosa,10/26/2026,12:00 PM,18-2S-26-1920-26300-0330,2026172,2403419,,"7567 SANDSTONE ST, NAVARRE, FL- 32566",,,8970.46,,10/26/2026 12:00 PM CT,TAXDEED,https://www.santarosa.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1520105&bypassPage=1,http://srcpa.gov/Parcel/Index2?parcel=18-2S-26-1920-26300-0330,,www.santarosa.realtaxdeed.com,2026-09-14T15:14:49+00:00
santarosa,10/26/2026,12:00 PM,28-2S-28-0000-01710-0000,2026174,2404149,,"1451 TIGER PARK LN, GULF BREEZE, FL- 32563",,,53364.83,,10/26/2026 12:00 PM CT,TAXDEED,https://www.santarosa.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1520106&bypassPage=1,http://srcpa.gov/Parcel/Index2?parcel=28-2S-28-0000-01710-0000,,www.santarosa.realtaxdeed.com,2026-09-14T15:14:49+00:00
santarosa,10/26/2026,12:00 PM,32-2N-27-0000-00201-0000,2026175,2400449,,"8223 PUNJOB RD, MILTON, FL- 32583",,,5574.86,,10/26/2026 12:00 PM CT,TAXDEED,https://www.santarosa.realtaxdeed.com/index.cfm?zaction=auction&zmethod=details&AID=1520107&bypassPage=1,http://srcpa.gov/Parcel/Index2?parcel=32-2N-27-0000-00201-0000,,www.santarosa.realtaxdeed.com,2026-09-14T15:14:49+00:00
